id,Primary_Vocation,Acres,Percentage_Field_Crops,Percentage_Vegetable_Crops,Percentage_Tree_and_Vine_Crops,Percentage_Other,County,Alfalfa_Rank,Rice_Rank,Wheat_Rank,Triticale_Rank,Barley_Rank,Oats_Rank,Cotton_Rank,Corn_Rank,Corn_Silage_Rank,Small_Grain_Silage_Rank,Small_Grain_Hay_Rank,Grass_and_Grass_Mixtures_Hay_Rank,Sorghum_Sudangrass_Sudan_Rank,Dry_Beans_Rank,Mixed_Hay_Rank,Sunflower_Rank,Oilseeds_Rank,Sugar_Beets_Rank,Hemp_Rank,Other_Rank,Grass_and_Grass_Mixtures_Pasture_Rank,Wild_Rice_Rank,Concern_Commondity_Price_of_Crops,Concern_Market_Access,Concern_Consumer_Demand,Concern_Input_Costs,Concern_Water_Costs,Concern_Land_Tenure,Concern_Water_Quality_and_Availability,Concern_Labor_Quality_and_Availability,Concern_Water_Regulations_Quantity,Concern_Water_Regulations_Quality,Concern_Labor_Regulations,Concern_Chemical_Regulations,Concern_Air_Quality,Concern_Changing_Weather_and_Climate,Concern_Soil_Degradation,Concern_Other,Alfalfa_Concerns,Cotton_Concerns,Rice_Concerns,Wild_Rice_Concerns,Wheat_Concerns,Triticale_Concerns,Barley_Concerns,Oats_Concerns,Corn_Concerns,Sorghum_Concerns,Corn_Silage_Concerns,Small_Grain_Silage_Concerns,Small_Grain_Hay_Concerns,Grass_and_Grass_Mixtures_Hay_Concerns,Grass_and_Grass_Mixtures_Pasture_Concerns,Sorghum_Sudangrass_Sudan_Concerns,Mixed_Hay_Concerns,Dry_Beans_Concerns,Sunflower_Concerns,Oilseeds_Concerns,Sugar_Beets_Concerns,Hemp_Concerns,Other_Concerns,Alfalfa_Reasons,Cotton_Reasons,Rice_Reasons,Wild_Rice_Reasons,Wheat_Reasons,Triticale_Reasons,Barley_Reasons,Oats_Reasons,Corn_Reasons,Sorghum_Reasons,Corn_Silage_Reasons,Small_Grain_Silage_Reasons,Small_Grain_Hay_Reasons,Grass_and_Grass_Mixtures_Hay_Reasons,Grass_and_Grass_Mixtures_Pasture_Reasons,Sorghum_Sudangrass_Sudan_Reasons,Mixed_Hay_Reasons,Dry_Beans_Reasons,Sunflower_Reasons,Oilseeds_Reasons,Sugar_Beets_Reasons,Hemp_Reasons,Other_Reasons,Affected_Crop_Production_Profitability,Affected_Crop_Production_Crop_Yield,Affected_Crop_Production_Crop_Quality,Affected_Crop_Production_Input_Costs,Affected_Crop_Production_Soil_Fertility,Affected_Crop_Production_Land_Stewardship,Affected_Crop_Production_Natural_Resource_Conservation,Affected_Crop_Production_Meeting_Government_Regulations,Affected_Crop_Production_Labor_Required,Affected_Crop_Production_Ease_of_Implementation,Affected_Crop_Production_Certainty_in_Management_Practice,Affected_Crop_Production_Availability_of_Outreach_Information,Affected_Crop_Production_Water_Availability,Affected_Crop_Production_Other,Information_Sources,UCCE_Engagement_Attend_Field_Day,UCCE_Engagement_Read_Blog,UCCE_Engagement_Call_Advisor,UCCE_Engagement_Read_Newsletter,UCCE_Engagement_Interact_with_Social_Media,Amount_Valued_Continuing_Education_Credits,Amount_Valued_On_Farm_Consultations,Amount_Valued_Crop_Injury_Diagnosis,Amount_Valued_On_Farm_Trials,Priority_Irrigation_Management,Priority_Water_Conservation_and_Storage,Priority_Nutrient_Management,Priority_Salinity_Management,Priority_Soil_Health_Management,Priority_Cover_Crops,Priority_Weed_Control,Priority_Insect_Pest_Control,Priority_Disease_Control,Priority_Manure_Management,Priority_Compost_Management,Priority_Crop_Establishment,Priority_Variety_Testing,Priority_Harvest_and_Postharvest,Priority_Emerging_Crops,Priority_Testing_New_Products,Priority_Niche_Marketing_Field_Crops,Priority_Greenhouse_Gas_Emissions_Reduction,Priority_Organic_Production,Priority_Other,Satisfaction_Irrigation_Management,Satisfaction_Water_Conservation_and_Storage,Satisfaction_Nutrient_Management,Satisfaction_Salinity_Management,Satisfaction_Soil_Health_Management,Satisfaction_Cover_Crops,Satisfaction_Weed_Control,Satisfaction_Insect_Pest_Control,Satisfaction_Disease_Control,Satisfaction_Manure_Management,Satisfaction_Compost_Management,Satisfaction_Crop_Establishment,Satisfaction_Variety_Testing,Satisfaction_Harvest_and_Postharvest,Satisfaction_Emerging_Crops,Satisfaction_Testing_New_Products,Satisfaction_Niche_Marketing_Field_Crops,Satisfaction_Greenhouse_Gas_Emissions_Reduction,Satisfaction_Organic_Production,Satisfaction_Other,UCCE_Information_Types_Requested,UCCE_Information_Preferred_Contact,Internet_Information_Sources,Total_Years_in_Crop_Production,Years_On_Current_Farm,Percentage_Income_Agriculture,Percentage_of_Total_Irrigated_Acres,Percentage_of_Acres_Leased,Percentage_of_Acres_Owned,Proposed_Ideas,Age_Range,Gender,Race_Ethnicity,Gift_Card,Crops
104,Grower,5500,100,0,0,0,"Butte,Colusa,Glenn",,1,,,,,,,,,,,,,,,,,,,,,Very concerned,Very concerned,Very concerned,Very concerned,Very concerned,Very concerned,Very concerned,Very concerned,Very concerned,Very concerned,Very concerned,Very concerned,Very concerned,Very concerned,Very concerned,,,,"Irrigation/Water Management,Nutrient Management,Weed Control",,,,,,,,,,,,,,,,,,,,,,,"I am limited by farm resources to grow other crops (equipment, water, land, capital, know-how, etc.),Soil is not suitable for other crops,Crop is traditionally grown on my farm",,,,,,,,,,,,,,,,,,,,,Always,Always,Always,Sometimes,Always,Always,Always,Always,Always,Often,Always,Often,Always,,"Other Growers,Pesticide Control Advisor,UC Cooperative Extension",,1-3 times/week,1-2 times/year,1-3 times/week,1-3 times/week,,Very Valuable,Very Valuable,Very Valuable,High Priority,High Priority,High Priority,Medium Priority,Medium Priority,No Opinion,High Priority,High Priority,High Priority,No Opinion,No Opinion,High Priority,No Opinion,High Priority,No Opinion,High Priority,No Opinion,No Opinion,No Opinion,,,,,,,,,,,,,,,,,,,,,,"Decision Support Tools,Recommendations on how to manage,Cost of Production Information,Farm Economics,Field Trial Results,Regulatory updates","Internet (websites),UC Cooperative Extension Magazine Articles,Fact Sheets",University of California Cooperative Extension websites,30+ years,30+ years,100,100,90,10,,55 - 64 years,Female,White or Caucasian,No,Rice
105,Grower,50,60,30,10,0,Humboldt,,,1,,,,,2,,,,,,,,3,,,,,,,Very concerned,Somewhat concerned,Somewhat concerned,Somewhat concerned,Very concerned,Very concerned,Very concerned,Very concerned,Somewhat concerned,Somewhat concerned,Somewhat concerned,Very concerned,Very concerned,Very concerned,Very concerned,,,,,,"Irrigation/Water Management,Insect Pest Control,Soil Management",,,,"Nutrient Management,Disease Control,Weed Control,Harvest Operations",,,,,,,,,,"Insect Pest Control,Labor",,,,,,,,,"Profitability,Supports wildlife habitat",,,,"Stable Markets,Crop Rotation Benefits,I am limited by farm resources to grow other crops (equipment, water, land, capital, know-how, etc.),Soil is not suitable for other crops,Suitability for saline/alkaline soils,Crop is traditionally grown on my farm,Other",,,,,,,,,,Capacity for deficit irrigation or fallowing,,,,,Often,Sometimes,Sometimes,Rarely,Sometimes,Often,Often,Sometimes,Rarely,Sometimes,Sometimes,Often,Sometimes,,"Other Growers,Pesticide Control Advisor,UC Cooperative Extension,State or County Farm Bureau,County Agricultural Commissioner",3-6 times per year,3-6 times per year,1-2 times/month,3-6 times per year,3-6 times per year,Somewhat Valuable,,Very Valuable,Somewhat Valuable,High Priority,High Priority,Medium Priority,Medium Priority,Low Priority,Medium Priority,High Priority,Medium Priority,Medium Priority,Low Priority,High Priority,Medium Priority,Medium Priority,Low Priority,Medium Priority,Medium Priority,High Priority,Medium Priority,Medium Priority,,High Satisfaction,Medium Satisfaction,Medium Satisfaction,High Satisfaction,High Satisfaction,Medium Satisfaction,Medium Satisfaction,High Satisfaction,Medium Satisfaction,Medium Satisfaction,High Satisfaction,High Satisfaction,High Satisfaction,Medium Satisfaction,High Satisfaction,Medium Satisfaction,Medium Satisfaction,High Satisfaction,Medium Satisfaction,,"Recommendations on how to manage,Cost of Production Information","Internet (websites),UC Cooperative Extension Magazine Articles,Social Media,Fact Sheets,Demonstration Videos","University of California Cooperative Extension websites,UC Blogs,Facebook,Twitter",3-9 years,3-9 years,90,70,10,90,Hope to get on-site teaching,45 - 54 years,Male,White or Caucasian,Yes,"Wheat, Corn, Sunflower"
106,Grower,6000,30,50,20,0,"Solano,Yolo",,,3,,,,,,,,,,,,,2,,,,1,,,Very concerned,Somewhat concerned,Very concerned,Very concerned,Very concerned,Very concerned,Very concerned,Very concerned,Very concerned,Very concerned,Very concerned,Very concerned,Very concerned,Very concerned,Very concerned,,,,,,"Irrigation/Water Management,Nutrient Management,Soil Management,Labor",,,,,,,,,,,,,,"Irrigation/Water Management,Nutrient Management,Disease Control,Insect Pest Control,Soil Management,Harvest Operations,Labor",,,,,,,,,"Crop Rotation Benefits,Crop is traditionally grown on my farm",,,,,,,,,,,,,,"Profitability,Stable Markets,Crop Rotation Benefits,Crop is traditionally grown on my farm",,,,Capacity for deficit irrigation or fallowing,Always,Always,Always,Always,Always,Always,Often,Often,Always,Often,Often,Often,Always,,"Industry,Other Growers,Pesticide Control Advisor,UC Cooperative Extension,Input Supplier (seed supplier, fertilizer supplier, pesticide/herbicide supplier, etc.)",1-2 times/year,1-2 times/year,1-2 times/year,1-2 times/year,Never,Somewhat Valuable,Very Valuable,Very Valuable,Very Valuable,High Priority,Medium Priority,Medium Priority,Low Priority,Medium Priority,Low Priority,Medium Priority,Medium Priority,Medium Priority,Low Priority,Low Priority,Medium Priority,Medium Priority,Medium Priority,Low Priority,High Priority,Medium Priority,Low Priority,Low Priority,,High Satisfaction,Medium Satisfaction,Medium Satisfaction,Low Satisfaction,Medium Satisfaction,Low Satisfaction,Medium Satisfaction,Medium Satisfaction,Medium Satisfaction,Low Satisfaction,Medium Satisfaction,Low Satisfaction,Medium Satisfaction,Low Satisfaction,Low Satisfaction,Medium Satisfaction,No Opinion,No Opinion,Low Satisfaction,,"Cost of Production Information,Field Trial Results,Regulatory updates","Internet (websites),Webinars,Virtual Meetings,In-person meetings (Field Days, Grower Meetings)",University of California Cooperative Extension websites,30+ years,30+ years,99,100,79,22,More involvement,65 - 74 years,Male,White or Caucasian,Yes,"Wheat, Sunflower, Other"
107,Grower,300,30,0,70,0,"Butte,Glenn,Tehama",,,,,,,,,,1,,,,,,,,,,,,,Very concerned,Not  concerned,Somewhat concerned,Very concerned,Not  concerned,Not  concerned,Not  concerned,Not  concerned,Not  concerned,Not  concerned,Somewhat concerned,Somewhat concerned,Not  concerned,Not  concerned,Not  concerned,,,,,,,,,,,,,Irrigation/Water Management,,,,,,,,,,,,,,,,,,,,,,,"I am limited by farm resources to grow other crops (equipment, water, land, capital, know-how, etc.)",,,,,,,,,,,,Always,Sometimes,Rarely,Often,Sometimes,Rarely,Rarely,Never,Rarely,Rarely,Often,Rarely,Rarely,,"Industry,Pesticide Control Advisor,UC Cooperative Extension",Never,Never,Never,Never,Never,Very Valuable,Very Valuable,Very Valuable,Very Valuable,Medium Priority,Low Priority,High Priority,Low Priority,Medium Priority,Medium Priority,Medium Priority,High Priority,High Priority,Low Priority,Low Priority,High Priority,High Priority,Low Priority,Low Priority,High Priority,Low Priority,Low Priority,Low Priority,,Medium Satisfaction,Medium Satisfaction,Medium Satisfaction,Medium Satisfaction,Medium Satisfaction,Medium Satisfaction,Medium Satisfaction,,Medium Satisfaction,Medium Satisfaction,Medium Satisfaction,Medium Satisfaction,Medium Satisfaction,Medium Satisfaction,Medium Satisfaction,Medium Satisfaction,Medium Satisfaction,Medium Satisfaction,Medium Satisfaction,Medium Satisfaction,"Decision Support Tools,Cost of Production Information,Field Trial Results","Internet (websites),Newsletters,UC Cooperative Extension Magazine Articles,Personal contact (phone, email, on-farm consultation),In-person meetings (Field Days, Grower Meetings),Books/manuals,Fact Sheets,Two or three day destination meetings",I don't look for field crop production information on the internet,20-29 years,20-29 years,100,70,,100,,35 - 44 years,Male,White or Caucasian,Yes,Small Grain Silage
108,Grower,20,50,30,20,0,Alameda,,,3,,,,,2,1,,,,,,,,,,,,,,Very concerned,Very concerned,Very concerned,Very concerned,Very concerned,Very concerned,Very concerned,Very concerned,Very concerned,Very concerned,Very concerned,Very concerned,Very concerned,Very concerned,,Not  concerned,,,,,"Irrigation/Water Management,Nutrient Management,Disease Control,Insect Pest Control,Soil Management,Harvest Operations,Labor",,,,"Nutrient Management,Disease Control,Insect Pest Control,Soil Management,Harvest Operations,Labor",,"Irrigation/Water Management,Nutrient Management,Disease Control,Insect Pest Control,Soil Management,Harvest Operations,Labor",,,,,,,,,,,,,,,,,"Stable Markets,Crop Rotation Benefits,Soil is not suitable for other crops,Crop is traditionally grown on my farm",,,,"Profitability,Crop Rotation Benefits,Soil is not suitable for other crops,Crop is traditionally grown on my farm",,Crop is traditionally grown on my farm,,,,,,,,,,,,,Often,Often,Often,Sometimes,Often,Always,Always,Often,Often,Always,Always,Often,Always,,"UC Cooperative Extension,State or County Farm Bureau",3-6 times per year,1-2 times/year,1-2 times/year,3-6 times per year,3-6 times per year,Somewhat Valuable,Somewhat Valuable,Somewhat Valuable,Somewhat Valuable,Medium Priority,High Priority,High Priority,High Priority,High Priority,Medium Priority,Medium Priority,High Priority,High Priority,High Priority,High Priority,Medium Priority,Medium Priority,Medium Priority,No Opinion,Medium Priority,Medium Priority,High Priority,Medium Priority,,High Satisfaction,Medium Satisfaction,High Satisfaction,High Satisfaction,High Satisfaction,Medium Satisfaction,High Satisfaction,High Satisfaction,High Satisfaction,High Satisfaction,High Satisfaction,High Satisfaction,High Satisfaction,High Satisfaction,Low Satisfaction,High Satisfaction,High Satisfaction,Medium Satisfaction,Medium Satisfaction,Low Satisfaction,"Cost of Production Information,Farm Economics,Regulatory updates","Webinars,Personal contact (phone, email, on-farm consultation),Social Media,""California Agriculture"" Journal","University of California Cooperative Extension websites,Facebook,Twitter",3-9 years,3-9 years,70,20,40,60,"Can be applied to practice, willing to test",45 - 54 years,Male,White or Caucasian,Yes,"Wheat, Corn, Corn Silage"
109,Grower,20,66,33,1,0,Sonoma,,1,,2,,,,,,,,,,,,,,,,,,,Very concerned,Somewhat concerned,Very concerned,Somewhat concerned,Somewhat concerned,Somewhat concerned,Somewhat concerned,Very concerned,Somewhat concerned,Somewhat concerned,Somewhat concerned,Somewhat concerned,Somewhat concerned,Very concerned,Somewhat concerned,Somewhat concerned,,,Irrigation/Water Management,,,Disease Control,,,,Labor,,,,,,,,,,,,,,,,Stable Markets,,,"Profitability,Crop Rotation Benefits,Capacity for deficit irrigation or fallowing,I am limited by farm resources to grow other crops (equipment, water, land, capital, know-how, etc.),Soil is not suitable for other crops,Supports wildlife habitat",,,,,,,,,,,,,,,,,,Often,Sometimes,Often,Sometimes,Sometimes,Often,,Sometimes,Often,,Sometimes,Often,Sometimes,,"Other Growers,State or County Farm Bureau,Input Supplier (seed supplier, fertilizer supplier, pesticide/herbicide supplier, etc.)",1-2 times/year,3-6 times per year,,1-2 times/year,3-6 times per year,Somewhat Valuable,Not Valuable,Somewhat Valuable,Somewhat Valuable,Medium Priority,Low Priority,Medium Priority,Medium Priority,Low Priority,Medium Priority,Medium Priority,,,Medium Priority,,,Medium Priority,High Priority,,Low Priority,,High Priority,,,,Medium Satisfaction,,,Low Satisfaction,Medium Satisfaction,,,,Medium Satisfaction,Medium Satisfaction,Low Satisfaction,,,,Medium Satisfaction,,Low Satisfaction,Medium Satisfaction,,Recommendations on how to manage,"Webinars,Demonstration Videos","University of California Cooperative Extension websites,Facebook",3-9 years,3-9 years,80,60,61,53,"In all of this, you will hopefully see that even the ""hard"" way is not that bad.",26- 34 years,Male,"White or Caucasian,Hispanic or Latino",Yes,"Rice, Triticale"
110,Grower,20,50,30,20,0,Calaveras,,,1,,,,,,,3,,,,,,2,,,,,,,Somewhat concerned,Very concerned,Very concerned,Somewhat concerned,Somewhat concerned,Somewhat concerned,Somewhat concerned,Not  concerned,Somewhat concerned,Very concerned,Very concerned,Somewhat concerned,Somewhat concerned,Somewhat concerned,Very concerned,Somewhat concerned,,,,,"Nutrient Management,Disease Control,Insect Pest Control,Soil Management,Harvest Operations,Labor",,,,,,,"Irrigation/Water Management,Nutrient Management,Insect Pest Control,Soil Management",,,,,,,"Nutrient Management,Weed Control,Soil Management",,,,,,,,,"Stable Markets,Crop Rotation Benefits,I am limited by farm resources to grow other crops (equipment, water, land, capital, know-how, etc.),Soil is not suitable for other crops,Suitability for saline/alkaline soils,Supports wildlife habitat",,,,,,,"Profitability,Crop Rotation Benefits,Capacity for deficit irrigation or fallowing,Suitability for saline/alkaline soils,Supports wildlife habitat",,,,,,,"Stable Markets,I am limited by farm resources to grow other crops (equipment, water, land, capital, know-how, etc.),Suitability for saline/alkaline soils,Crop is traditionally grown on my farm",,,,,Sometimes,Often,Often,Sometimes,Sometimes,Rarely,Sometimes,Often,Sometimes,Sometimes,Rarely,Sometimes,Often,Sometimes,Commodity Boards,3-6 times per year,1-2 times/year,3-6 times per year,1-2 times/month,3-6 times per year,Somewhat Valuable,Not Valuable,Somewhat Valuable,Somewhat Valuable,Medium Priority,High Priority,Medium Priority,Low Priority,Medium Priority,Medium Priority,Medium Priority,Medium Priority,High Priority,Medium Priority,Low Priority,Medium Priority,Medium Priority,Medium Priority,Medium Priority,Low Priority,Medium Priority,Medium Priority,Medium Priority,Low Priority,Medium Satisfaction,High Satisfaction,Medium Satisfaction,Medium Satisfaction,Medium Satisfaction,Medium Satisfaction,High Satisfaction,Medium Satisfaction,Low Satisfaction,Medium Satisfaction,Medium Satisfaction,Low Satisfaction,Medium Satisfaction,Medium Satisfaction,Medium Satisfaction,Low Satisfaction,Medium Satisfaction,Medium Satisfaction,Medium Satisfaction,Medium Satisfaction,"Cost of Production Information,Farm Economics","Blogs,Fact Sheets","UC Blogs,Commodity Board websites,Facebook,Twitter",10-19 years,3-9 years,61,40,57,42,yes,26- 34 years,Female,"White or Caucasian,Hispanic or Latino",Yes,"Wheat, Small Grain Silage, Sunflower"
111,Grower,22,100,0,0,0,Contra Costa,,2,,,,,1,,3,,,,,,,,,,,,,,Very concerned,Very concerned,Very concerned,Very concerned,Very concerned,Very concerned,Very concerned,Very concerned,Very concerned,Very concerned,Very concerned,Very concerned,Very concerned,Very concerned,Very concerned,Very concerned,,"Irrigation/Water Management,Nutrient Management,Disease Control,Weed Control,Insect Pest Control,Soil Management,Harvest Operations,Labor,Other:","Irrigation/Water Management,Nutrient Management,Disease Control,Weed Control,Insect Pest Control,Soil Management,Harvest Operations,Labor,Other:",,,,,,,,"Irrigation/Water Management,Nutrient Management,Disease Control,Weed Control,Insect Pest Control,Soil Management,Harvest Operations,Labor,Other:",,,,,,,,,,,,,,"Profitability,Stable Markets,Crop Rotation Benefits,Capacity for deficit irrigation or fallowing,I am limited by farm resources to grow other crops (equipment, water, land, capital, know-how, etc.),Soil is not suitable for other crops,Suitability for saline/alkaline soils,Supports wildlife habitat,Crop is traditionally grown on my farm,Other","Profitability,Stable Markets,Crop Rotation Benefits,Capacity for deficit irrigation or fallowing,I am limited by farm resources to grow other crops (equipment, water, land, capital, know-how, etc.),Soil is not suitable for other crops,Suitability for saline/alkaline soils,Supports wildlife habitat,Crop is traditionally grown on my farm,Other",,,,,,,,"Profitability,Stable Markets,Crop Rotation Benefits,Capacity for deficit irrigation or fallowing,I am limited by farm resources to grow other crops (equipment, water, land, capital, know-how, etc.),Soil is not suitable for other crops,Suitability for saline/alkaline soils,Supports wildlife habitat,Crop is traditionally grown on my farm,Other",,,,,,,,,,,,,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,"Commodity Boards,Other Growers,Pesticide Control Advisor,Certified Crop Advisor,UC Cooperative Extension,Environmental Groups,Resource Conservation Districts,State or County Farm Bureau,Input Supplier (seed supplier, fertilizer supplier, pesticide/herbicide supplier, etc.)",1-2 times/year,Never,Never,1-2 times/year,1-2 times/year,Very Valuable,Very Valuable,Very Valuable,Very Valuable,High Priority,High Priority,High Priority,High Priority,High Priority,High Priority,High Priority,High Priority,High Priority,High Priority,High Priority,High Priority,High Priority,High Priority,High Priority,High Priority,High Priority,High Priority,High Priority,High Priority,High Satisfaction,High Satisfaction,High Satisfaction,Medium Satisfaction,High Satisfaction,Medium Satisfaction,Medium Satisfaction,Medium Satisfaction,High Satisfaction,High Satisfaction,Medium Satisfaction,High Satisfaction,Medium Satisfaction,High Satisfaction,High Satisfaction,Medium Satisfaction,High Satisfaction,Medium Satisfaction,Medium Satisfaction,,"Decision Support Tools,Recommendations on how to manage,Cost of Production Information,Farm Economics","Internet (websites),Blogs,Webinars,Virtual Meetings,Newsletters,UC Cooperative Extension Magazine Articles,Personal contact (phone, email, on-farm consultation),In-person meetings (Field Days, Grower Meetings),Books/manuals,Radio/Podcast,Social Media,Fact Sheets,Interactive Web Tools,Demonstration Videos,Two or three day destination meetings,""California Agriculture"" Journal","University of California Cooperative Extension websites,UC Blogs,Commodity Board websites,Instagram,Facebook,Twitter,Vendor Websites",3-9 years,3-9 years,92,90,8,92,,35 - 44 years,Female,"White or Caucasian,Black or African American,Hispanic or Latino,Asian or Asian American,American Indian or Alaska Native",Yes,"Rice, Cotton, Corn Silage"
112,Grower,100,60,30,10,0,Contra Costa,,1,,2,,,,,3,,,,,,,,,,,,,,Very concerned,Very concerned,Very concerned,Somewhat concerned,Somewhat concerned,Very concerned,Very concerned,Very concerned,Somewhat concerned,Very concerned,Very concerned,Very concerned,Very concerned,Very concerned,Somewhat concerned,Very concerned,,,"Irrigation/Water Management,Weed Control,Soil Management,Labor",,,"Nutrient Management,Disease Control,Insect Pest Control,Harvest Operations,Other:",,,,,"Irrigation/Water Management,Disease Control,Weed Control,Soil Management,Harvest Operations",,,,,,,,,,,,,,,"Profitability,Stable Markets,Crop Rotation Benefits",,,"Capacity for deficit irrigation or fallowing,I am limited by farm resources to grow other crops (equipment, water, land, capital, know-how, etc.),Soil is not suitable for other crops,Suitability for saline/alkaline soils,Crop is traditionally grown on my farm,Other",,,,,Supports wildlife habitat,,,,,,,,,,,,,Always,Often,Sometimes,Sometimes,Rarely,Sometimes,Sometimes,Often,Always,Often,Sometimes,Often,Often,,"Other Growers,UC Cooperative Extension,State or County Farm Bureau,County Agricultural Commissioner",1-2 times/year,1-2 times/year,3-6 times per year,3-6 times per year,1-2 times/month,Very Valuable,Somewhat Valuable,Somewhat Valuable,Somewhat Valuable,Medium Priority,High Priority,Medium Priority,Medium Priority,Low Priority,Medium Priority,Medium Priority,Medium Priority,High Priority,Medium Priority,Medium Priority,Medium Priority,Low Priority,Medium Priority,Medium Priority,Medium Priority,Low Priority,Medium Priority,High Priority,,High Satisfaction,Medium Satisfaction,Medium Satisfaction,Low Satisfaction,Medium Satisfaction,Medium Satisfaction,Medium Satisfaction,Medium Satisfaction,High Satisfaction,Medium Satisfaction,Medium Satisfaction,Low Satisfaction,Medium Satisfaction,Medium Satisfaction,Medium Satisfaction,High Satisfaction,Medium Satisfaction,Medium Satisfaction,Low Satisfaction,,"Farm Economics,Field Trial Results,Regulatory updates","UC Cooperative Extension Magazine Articles,Social Media,Demonstration Videos","University of California Cooperative Extension websites,UC Blogs,Facebook",10-19 years,10-19 years,100,93,30,70,Hope to get professional guidance,45 - 54 years,Female,White or Caucasian,Yes,"Rice, Triticale, Corn Silage"
113,Grower,25,100,0,0,0,Alameda,,2,3,,,,,1,,,,,,,,,,,,,,,Very concerned,Very concerned,Very concerned,Very concerned,Very concerned,Very concerned,Very concerned,Very concerned,Very concerned,Very concerned,Very concerned,Very concerned,Very concerned,Very concerned,Very concerned,,,,"Irrigation/Water Management,Nutrient Management,Disease Control,Weed Control,Insect Pest Control,Soil Management,Harvest Operations,Labor",,"Nutrient Management,Disease Control,Insect Pest Control,Soil Management,Harvest Operations,Labor",,,,"Nutrient Management,Disease Control,Insect Pest Control,Soil Management,Harvest Operations,Labor",,,,,,,,,,,,,,,,,"Profitability,Stable Markets,Capacity for deficit irrigation or fallowing,Suitability for saline/alkaline soils,Crop is traditionally grown on my farm",,"Profitability,Stable Markets,Crop Rotation Benefits,I am limited by farm resources to grow other crops (equipment, water, land, capital, know-how, etc.),Soil is not suitable for other crops,Supports wildlife habitat,Crop is traditionally grown on my farm",,,,"Profitability,Stable Markets,Crop is traditionally grown on my farm",,,,,,,,,,,,,,,Often,Often,Always,Always,Always,Often,Often,Always,Always,Always,Often,Often,Always,,UC Cooperative Extension,1-2 times/year,1-2 times/year,3-6 times per year,1-2 times/year,3-6 times per year,Somewhat Valuable,Somewhat Valuable,Very Valuable,Somewhat Valuable,High Priority,High Priority,High Priority,Medium Priority,High Priority,Medium Priority,Medium Priority,High Priority,High Priority,High Priority,High Priority,High Priority,High Priority,High Priority,No Opinion,Medium Priority,Medium Priority,Low Priority,Low Priority,,High Satisfaction,High Satisfaction,High Satisfaction,Medium Satisfaction,High Satisfaction,High Satisfaction,High Satisfaction,High Satisfaction,High Satisfaction,High Satisfaction,High Satisfaction,High Satisfaction,High Satisfaction,High Satisfaction,No Opinion,Medium Satisfaction,High Satisfaction,High Satisfaction,Medium Satisfaction,,"Recommendations on how to manage,Cost of Production Information,Farm Economics","UC Cooperative Extension Magazine Articles,In-person meetings (Field Days, Grower Meetings),Fact Sheets,Demonstration Videos","University of California Cooperative Extension websites,Facebook,Twitter",3-9 years,3-9 years,70,80,30,70,Give me some Suggestions for crop growth that I'd like to test,35 - 44 years,Male,White or Caucasian,Yes,"Rice, Wheat, Corn"
114,Grower,100,60,20,10,10,Santa Barbara,,,2,,,,,,,,,,,,,3,,,,,,1,Very concerned,Very concerned,Very concerned,Somewhat concerned,Somewhat concerned,Very concerned,Very concerned,Very concerned,Very concerned,Somewhat concerned,Somewhat concerned,Somewhat concerned,Very concerned,Somewhat concerned,Very concerned,,,,,"Irrigation/Water Management,Disease Control,Weed Control,Soil Management,Harvest Operations","Irrigation/Water Management,Insect Pest Control,Soil Management",,,,,,,,,,,,,,"Nutrient Management,Disease Control,Weed Control,Harvest Operations,Labor",,,,,,,,,"Profitability,Capacity for deficit irrigation or fallowing,I am limited by farm resources to grow other crops (equipment, water, land, capital, know-how, etc.),Supports wildlife habitat,Crop is traditionally grown on my farm",,,,,,,,,,,,,,"Stable Markets,Crop Rotation Benefits,Soil is not suitable for other crops,Suitability for saline/alkaline soils,Other",,,,,Often,Sometimes,Sometimes,Rarely,Sometimes,Sometimes,Often,Often,Sometimes,Rarely,Sometimes,Sometimes,Often,,"Other Growers,UC Cooperative Extension,State or County Farm Bureau",1-2 times/year,1-2 times/year,3-6 times per year,3-6 times per year,1-2 times/year,Somewhat Valuable,Not Valuable,Somewhat Valuable,Somewhat Valuable,Medium Priority,High Priority,Medium Priority,High Priority,Low Priority,Low Priority,Medium Priority,High Priority,Medium Priority,Medium Priority,Low Priority,High Priority,High Priority,Medium Priority,High Priority,Low Priority,Medium Priority,High Priority,Medium Priority,,High Satisfaction,Medium Satisfaction,Medium Satisfaction,Medium Satisfaction,Low Satisfaction,Medium Satisfaction,Medium Satisfaction,Medium Satisfaction,High Satisfaction,Medium Satisfaction,Low Satisfaction,Medium Satisfaction,Medium Satisfaction,Medium Satisfaction,Medium Satisfaction,High Satisfaction,Medium Satisfaction,Medium Satisfaction,High Satisfaction,,"Cost of Production Information,Farm Economics,Field Trial Results","Webinars,UC Cooperative Extension Magazine Articles,Demonstration Videos","University of California Cooperative Extension websites,UC Blogs,Facebook",3-9 years,3-9 years,90,80,30,70,The scene teaching,45 - 54 years,Male,White or Caucasian,Yes,"Wheat, Sunflower, Wild Rice"
