"","Primary_Vocation","Acres","Percentage_Field_Crops","Percentage_Vegetable_Crops","Percentage_Tree_and_Vine_Crops","Percentage_Other","County","Alfalfa_Rank","Rice_Rank","Wheat_Rank","Triticale_Rank","Barley_Rank","Oats_Rank","Cotton_Rank","Corn_Rank","Corn_Silage_Rank","Small_Grain_Silage_Rank","Small_Grain_Hay_Rank","Grass_and_Grass_Mixtures_Hay_Rank","Sorghum_Rank","Sorghum_Sudangrass_Sudan_Rank","Dry_Beans_Rank","Mixed_Hay_Rank","Sunflower_Rank","Oilseeds_Rank","Sugar_Beets_Rank","Hemp_Rank","Other_Rank","Grass_and_Grass_Mixtures_Rank","Wild_Rice_Rank","Concern_Commodity_Price_of_Crops","Concern_Market_Access","Concern_Consumer_Demand","Concern_Input_Costs","Concern_Water_Costs","Concern_Land_Tenure","Concern_Water_Quality_and_Availability","Concern_Labor_Quality_and_Availability","Concern_Water_Regulations_Quantity","Concern_Water_Regulations_Quality","Concern_Labor_Regulations","Concern_Chemical_Regulations","Concern_Air_Quality","Concern_Changing_Weather_and_Climate","Concern_Soil_Degradation","Concern_Other","Alfalfa_Concerns","Cotton_Concerns","Rice_Concerns","Wild_Rice_Concerns","Wheat_Concerns","Triticale_Concerns","Barley_Concerns","Oats_Concerns","Corn_Concerns","Sorghum_Concerns","Corn_Silage_Concerns","Small_Grain_Silage_Concerns","Small_Grain_Hay_Concerns","Grass_and_Grass_Mixtures_Hay_Concerns","Grass_and_Grass_Mixtures_Pasture_Concerns","Sorghum_Sudangrass_Sudan_Concerns","Mixed_Hay_Concerns","Dry_Beans_Concerns","Sunflower_Concerns","Oilseeds_Concerns","Sugar_Beets_Concerns","Hemp_Concerns","Other_Concerns","Affected_Crop_Production_Profitability","Affected_Crop_Production_Crop_Yield","Affected_Crop_Production_Crop_Quality","Affected_Crop_Production_Input_Costs","Affected_Crop_Production_Soil_Fertility","Affected_Crop_Production_Land_Stewardship","Affected_Crop_Production_Natural_Resource_Conservation","Affected_Crop_Production_Meeting_Government_Regulations","Affected_Crop_Production_Labor_Required","Affected_Crop_Production_Ease_of_Implementation","Affected_Crop_Production_Certainty_in_Management_Practice","Affected_Crop_Production_Availability_of_Outreach_Information","Affected_Crop_Production_Water_Availability","Affected_Crop_Production_Other","Information_Sources","UCCE_Engagement_Attend_Field_Day","UCCE_Engagement_Read_Blog","UCCE_Engagement_Call_Advisor","UCCE_Engagement_Read_Newsletter","UCCE_Engagement_Interact_with_Social_Media","Amount_Valued_Continuing_Education_Credits","Amount_Valued_On_Farm_Consultations","Amount_Valued_Crop_Injury_Diagnosis","Amount_Valued_On_Farm_Trials","Priority_Irrigation_Management","Priority_Water_Conservation_and_Storage","Priority_Nutrient_Management","Priority_Salinity_Management","Priority_Soil_Health_Management","Priority_Cover_Crops","Priority_Weed_Control","Priority_Insect_Pest_Control","Priority_Disease_Control","Priority_Manure_Management","Priority_Compost_Management","Priority_Crop_Establishment","Priority_Variety_Testing","Priority_Harvest_and_Postharvest","Priority_Emerging_Crops","Priority_Testing_New_Products","Priority_Niche_Marketing_Field_Crops","Priority_Greenhouse_Gas_Emissions_Reduction","Priority_Organic_Production","Priority_Other","Satisfaction_Irrigation_Management","Satisfaction_Water_Conservation_and_Storage","Satisfaction_Nutrient_Management","Satisfaction_Salinity_Management","Satisfaction_Soil_Health_Management","Satisfaction_Cover_Crops","Satisfaction_Weed_Control","Satisfaction_Insect_Pest_Control","Satisfaction_Disease_Control","Satisfaction_Manure_Management","Satisfaction_Compost_Management","Satisfaction_Crop_Establishment","Satisfaction_Variety_Testing","Satisfaction_Harvest_and_Postharvest","Satisfaction_Emerging_Crops","Satisfaction_Testing_New_Products","Satisfaction_Niche_Marketing_Field_Crops","Satisfaction_Greenhouse_Gas_Emissions_Reduction","Satisfaction_Organic_Production","Satisfaction_Other","UCCE_Information_Types_Requested","UCCE_Information_Preferred_Contact","Internet_Information_Sources","Total_Years_in_Crop_Production","Total_Years_in_Consulting_Field_Crops","Percentage_Income_Agriculture","Percentage_of_Total_Irrigated_Acres","Percentage_of_Acres_Leased","Percentage_of_Acres_Owned","Proposed_Ideas","Age_Range","Gender","Race_Ethnicity","Gift_Card","Crops","Region"
"61","Consultant (ex. Certified Crop Advisor (CCA), Pest Control Advisor (PCA))",NA,"79","12","9","0","Del Norte,Lassen,Modoc,Shasta,Siskiyou","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3",NA,NA,NA,NA,NA,NA,NA,NA,NA,"2",NA,"Somewhat concerned","Somewhat concerned","Somewhat concerned","Somewhat concerned","Very concerned","Somewhat concerned","Very concerned","Not  concerned","Very concerned","Very concerned","Somewhat concerned","Somewhat concerned","Not  concerned","Not  concerned","Somewhat concerned",NA,"Irrigation/Water Management",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Irrigation/Water Management","Irrigation/Water Management",NA,NA,NA,NA,NA,NA,NA,NA,"Always","Always","Always","Often","Always","Always","Always","Sometimes","Often","Often","Always","Rarely","Always",NA,"Industry,Commodity Boards,Other Growers,Pesticide Control Advisor,Certified Crop Advisor,Family members,Field crew","1-2 times/year","3-6 times per year","Never","3-6 times per year","Never","Somewhat Valuable","Somewhat Valuable","Somewhat Valuable","Not Valuable","Medium Priority","Medium Priority","Medium Priority","Medium Priority","Medium Priority","Medium Priority","Medium Priority","Medium Priority","Medium Priority","Low Priority","Low Priority","Medium Priority","Low Priority","Low Priority","Low Priority","Medium Priority","Low Priority","Low Priority","Medium Priority",NA,"Medium Satisfaction","Medium Satisfaction","Medium Satisfaction","Medium Satisfaction","Medium Satisfaction","Medium Satisfaction","Medium Satisfaction","Medium Satisfaction","Medium Satisfaction","Medium Satisfaction","Medium Satisfaction","Medium Satisfaction","Medium Satisfaction","Medium Satisfaction","Low Satisfaction","Low Satisfaction","Low Satisfaction","Low Satisfaction","Medium Satisfaction",NA,"Decision Support Tools,Recommendations on how to manage,Cost of Production Information,Farm Economics,Field Trial Results,Regulatory updates","Internet (websites),Webinars,Fact Sheets","Other state's Cooperative Extension websites (specify which universities):,Twitter,Vendor Websites",NA,"30+ years","80","82","40","60",NA,"65 - 74 years","Male","White or Caucasian,American Indian or Alaska Native","No","Alfalfa, Grass and Grass Mixtures Hay, Grass and Grass Mixtures","Intermountain, Coastal"
"62","Consultant (ex. Certified Crop Advisor (CCA), Pest Control Advisor (PCA))","500","50","30","10","10","Calaveras,Del Norte,Humboldt,Los Angeles",NA,"1",NA,"2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3",NA,NA,NA,NA,NA,"Very concerned","Very concerned","Somewhat concerned","Somewhat concerned","Very concerned","Very concerned","Very concerned","Very concerned","Very concerned","Somewhat concerned","Somewhat concerned","Very concerned","Very concerned","Somewhat concerned","Somewhat concerned",NA,NA,NA,"Irrigation/Water Management,Nutrient Management,Insect Pest Control,Harvest Operations",NA,NA,"Disease Control,Weed Control,Harvest Operations,Labor",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Irrigation/Water Management,Insect Pest Control,Soil Management,Labor",NA,NA,NA,"Always","Often","Often","Sometimes","Sometimes","Rarely","Sometimes","Sometimes","Often","Often","Often","Often","Sometimes",NA,"Other Growers,State or County Farm Bureau,County Agricultural Commissioner","1-2 times/year","3-6 times per year","3-6 times per year","1-2 times/year","Never","Somewhat Valuable","Very Valuable","Very Valuable","Very Valuable","High Priority","Medium Priority","Medium Priority","High Priority","Medium Priority","Medium Priority","Medium Priority","High Priority","High Priority","Medium Priority","Low Priority","Medium Priority","Medium Priority","High Priority","Medium Priority","Low Priority","Medium Priority","High Priority","Medium Priority",NA,"High Satisfaction","Medium Satisfaction","Medium Satisfaction","Low Satisfaction","Medium Satisfaction","Medium Satisfaction","High Satisfaction","High Satisfaction","High Satisfaction","Medium Satisfaction","Medium Satisfaction","Low Satisfaction","Medium Satisfaction","Low Satisfaction","High Satisfaction","Medium Satisfaction","Medium Satisfaction","Medium Satisfaction","Low Satisfaction",NA,"Farm Economics,Field Trial Results","Webinars,UC Cooperative Extension Magazine Articles,Social Media,Demonstration Videos","UC Blogs,Facebook,Twitter",NA,"3-9 years","90","80","30","70","I hope that my guidance can make the growers get satisfactory results","26- 34 years","Male","White or Caucasian","Yes","Rice, Triticale, Oilseeds","Coastal, Coastal, Sierra_Nevada"
"63","Consultant (ex. Certified Crop Advisor (CCA), Pest Control Advisor (PCA))","500","25","50","25","0","Merced,Stanislaus","3",NA,NA,NA,NA,NA,NA,NA,"1","2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Very concerned","Not  concerned","Somewhat concerned","Somewhat concerned","Not  concerned","Not  concerned","Very concerned","Somewhat concerned","Very concerned","Very concerned","Somewhat concerned","Not  concerned","Somewhat concerned","Not  concerned","Not  concerned",NA,"Weed Control",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Nutrient Management","Weed Control",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Always","Often","Always","Sometimes","Always","Often","Rarely","Often","Sometimes","Often","Often","Sometimes","Often",NA,"Industry,Other Growers,Pesticide Control Advisor,Certified Crop Advisor,UC Cooperative Extension,Family members","3-6 times per year","1-2 times/month","3-6 times per year","1-3 times/week","Never","Very Valuable","Very Valuable","Very Valuable","Somewhat Valuable","Medium Priority","High Priority","Medium Priority","Low Priority","Low Priority","Low Priority","High Priority","High Priority","High Priority","Low Priority","Low Priority","Medium Priority","Medium Priority","Medium Priority","Medium Priority","High Priority","Low Priority","Low Priority","No Opinion",NA,"Medium Satisfaction","Medium Satisfaction","High Satisfaction","No Opinion","Medium Satisfaction","Medium Satisfaction","High Satisfaction","High Satisfaction","High Satisfaction","Medium Satisfaction","Medium Satisfaction","Medium Satisfaction","High Satisfaction","Medium Satisfaction","Low Satisfaction","High Satisfaction","Low Satisfaction","Low Satisfaction","Low Satisfaction",NA,"Decision Support Tools,Cost of Production Information","Internet (websites),Newsletters,Personal contact (phone, email, on-farm consultation),In-person meetings (Field Days, Grower Meetings),Fact Sheets","University of California Cooperative Extension websites",NA,"20-29 years","76","100","29","70",NA,"55 - 64 years","Male","Prefer not to say","No","Alfalfa, Corn Silage, Small Grain Silage","NSJV, NSJV"
"64","Consultant (ex. Certified Crop Advisor (CCA), Pest Control Advisor (PCA))","300","56","44","0","0","Alameda",NA,"1","2",NA,NA,NA,NA,"3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Somewhat concerned","Very concerned","Somewhat concerned","Somewhat concerned","Not  concerned","Somewhat concerned","Somewhat concerned","Somewhat concerned","Very concerned","Very concerned","Somewhat concerned","Somewhat concerned","Somewhat concerned","Very concerned","Somewhat concerned","Not  concerned",NA,NA,"Irrigation/Water Management,Soil Management",NA,"Nutrient Management,Insect Pest Control,Harvest Operations,Labor,Other:",NA,NA,NA,"Disease Control,Weed Control",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Rarely","Sometimes","Often","Always","Sometimes","Often","Sometimes","Rarely","Sometimes","Often","Always","Sometimes","Sometimes","Rarely","Industry","1-2 times/year","3-6 times per year","1-2 times/month","3-6 times per year","3-6 times per year","Somewhat Valuable","Very Valuable","Somewhat Valuable","Not Valuable",NA,"Medium Priority","High Priority","High Priority","High Priority","Medium Priority","Low Priority","Low Priority","Medium Priority","High Priority","Medium Priority","Low Priority","Medium Priority","High Priority","High Priority","Medium Priority","Low Priority","Medium Priority","Medium Priority","No Opinion","Medium Satisfaction","High Satisfaction","Medium Satisfaction","Medium Satisfaction","Medium Satisfaction","High Satisfaction","Low Satisfaction","High Satisfaction","Medium Satisfaction","Low Satisfaction","Medium Satisfaction","High Satisfaction","Medium Satisfaction","Low Satisfaction","Medium Satisfaction","High Satisfaction","Medium Satisfaction","High Satisfaction","Medium Satisfaction","Low Satisfaction","Cost of Production Information","Social Media","Facebook,Twitter",NA,"20-29 years","59","65","55","67",NA,"45 - 54 years","Male","White or Caucasian","Yes","Rice, Wheat, Corn","Coastal, Coastal"
"65","Consultant (ex. Certified Crop Advisor (CCA), Pest Control Advisor (PCA))","5000","80","0","20","0","Fresno,Kings,Madera,Mariposa,Merced,San Joaquin,Stanislaus,Tuolumne","3",NA,NA,NA,NA,NA,NA,NA,"1","2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Very concerned","Somewhat concerned","Somewhat concerned","Somewhat concerned","Very concerned","Very concerned","Very concerned","Not  concerned","Very concerned","Somewhat concerned","Somewhat concerned","Very concerned","Somewhat concerned","Not  concerned","Not  concerned",NA,"Irrigation/Water Management,Insect Pest Control,Soil Management",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Nutrient Management,Disease Control,Weed Control,Insect Pest Control,Soil Management","Nutrient Management,Weed Control,Soil Management",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Often","Always","Always","Often","Often","Often","Sometimes","Always","Sometimes","Sometimes","Often","Sometimes","Always",NA,"Industry,Other Growers,Pesticide Control Advisor,Certified Crop Advisor,UC Cooperative Extension,Input Supplier (seed supplier, fertilizer supplier, pesticide/herbicide supplier, etc.),County Agricultural Commissioner","1-2 times/year","3-6 times per year","1-2 times/year","1-2 times/month","Never","Very Valuable","Somewhat Valuable","Very Valuable","Very Valuable","High Priority","High Priority","High Priority","Medium Priority","Medium Priority","Medium Priority","Low Priority","Medium Priority","Low Priority","Medium Priority","Low Priority","Medium Priority","High Priority","Low Priority","Low Priority","High Priority","Medium Priority","Medium Priority","Low Priority",NA,"High Satisfaction","Medium Satisfaction","Medium Satisfaction","Medium Satisfaction","Medium Satisfaction","Medium Satisfaction","Medium Satisfaction","High Satisfaction","High Satisfaction","Medium Satisfaction","Medium Satisfaction","High Satisfaction","High Satisfaction","Low Satisfaction","Low Satisfaction","Medium Satisfaction","Medium Satisfaction","Low Satisfaction","Low Satisfaction",NA,"Recommendations on how to manage,Cost of Production Information,Field Trial Results","Internet (websites),Blogs,Virtual Meetings,Newsletters,UC Cooperative Extension Magazine Articles,In-person meetings (Field Days, Grower Meetings),Fact Sheets","University of California Cooperative Extension websites,UC Blogs,YouTube (who/what channel?)",NA,"10-19 years","80","75","50","50",NA,"45 - 54 years","Male","Other (please specify)","Yes","Alfalfa, Corn Silage, Small Grain Silage","NSJV, NSJV, SSJV, Sierra_Nevada"
"66","Consultant (ex. Certified Crop Advisor (CCA), Pest Control Advisor (PCA))","3000","5","0","95","0","Amador,Calaveras,Contra Costa,Sacramento,San Joaquin",NA,NA,"2",NA,NA,NA,NA,"3",NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,"Very concerned","Very concerned","Somewhat concerned","Somewhat concerned","Very concerned","Very concerned","Somewhat concerned","Very concerned","Very concerned","Very concerned","Very concerned","Very concerned","Somewhat concerned","Somewhat concerned","Somewhat concerned",NA,NA,NA,NA,NA,"Irrigation/Water Management",NA,NA,NA,"Irrigation/Water Management",NA,NA,NA,NA,NA,NA,NA,NA,"Insect Pest Control",NA,NA,NA,NA,NA,"Often","Often","Often","Sometimes","Sometimes","Often","Often","Often","Often","Sometimes","Sometimes","Sometimes","Rarely",NA,"Industry,Other Growers,Pesticide Control Advisor,Certified Crop Advisor,UC Cooperative Extension,NRCS,Input Supplier (seed supplier, fertilizer supplier, pesticide/herbicide supplier, etc.),Family members,Field crew","3-6 times per year","3-6 times per year","1-2 times/year","3-6 times per year","1-2 times/year","Very Valuable","Very Valuable","Very Valuable","Very Valuable","High Priority","High Priority","High Priority","Medium Priority","High Priority","Medium Priority","High Priority","High Priority","High Priority","Medium Priority","Medium Priority","Medium Priority","High Priority","Medium Priority","Medium Priority","High Priority","High Priority","High Priority","Low Priority",NA,"High Satisfaction","Medium Satisfaction","Medium Satisfaction","Medium Satisfaction","Medium Satisfaction","Medium Satisfaction","Medium Satisfaction","High Satisfaction","Medium Satisfaction","Medium Satisfaction","Medium Satisfaction","Medium Satisfaction","Medium Satisfaction","Medium Satisfaction","Medium Satisfaction","Medium Satisfaction","Medium Satisfaction","Medium Satisfaction","Low Satisfaction",NA,"Decision Support Tools,Recommendations on how to manage,Cost of Production Information,Farm Economics,Field Trial Results,Regulatory updates","Internet (websites),Newsletters,Personal contact (phone, email, on-farm consultation),In-person meetings (Field Days, Grower Meetings),Books/manuals,Fact Sheets,""California Agriculture"" Journal","University of California Cooperative Extension websites,UC Blogs",NA,"3-9 years","90","100","40","60",NA,"26- 34 years","Male","White or Caucasian","Yes","Wheat, Corn, Dry Beans","Sierra_Nevada, Sac_Valley, NSJV, Coastal, Sierra_Nevada"
"67","Consultant (ex. Certified Crop Advisor (CCA), Pest Control Advisor (PCA))","12000","88","0","12","0","Fresno,Madera,Merced","2",NA,NA,NA,NA,NA,"1",NA,"3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Very concerned","Very concerned","Somewhat concerned","Somewhat concerned","Very concerned","Somewhat concerned","Very concerned","Very concerned","Very concerned","Somewhat concerned","Somewhat concerned","Very concerned","Very concerned","Somewhat concerned","Not  concerned","Very concerned","Irrigation/Water Management,Weed Control","Nutrient Management,Disease Control,Insect Pest Control,Soil Management,Harvest Operations,Labor",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Always","Sometimes","Often","Always","Sometimes","Rarely","Rarely","Always","Often","Often","Sometimes","Often","Always","Always","Pesticide Control Advisor,UC Cooperative Extension,State or County Farm Bureau,Input Supplier (seed supplier, fertilizer supplier, pesticide/herbicide supplier, etc.)","3-6 times per year","1-2 times/month","1-2 times/year","3-6 times per year","Never","Somewhat Valuable",NA,"Very Valuable","Somewhat Valuable","High Priority","High Priority","Medium Priority","High Priority","Low Priority","Medium Priority","High Priority","High Priority","High Priority","Medium Priority","Medium Priority","Medium Priority","High Priority","High Priority","Low Priority","High Priority","High Priority","Medium Priority","Medium Priority","High Priority","Low Satisfaction","Low Satisfaction","Medium Satisfaction","Medium Satisfaction","Medium Satisfaction","Medium Satisfaction","Low Satisfaction","Medium Satisfaction","Medium Satisfaction","Low Satisfaction","Low Satisfaction","Medium Satisfaction","Medium Satisfaction","Medium Satisfaction","Low Satisfaction","Low Satisfaction","Medium Satisfaction","Medium Satisfaction","Low Satisfaction","Low Satisfaction","Decision Support Tools,Cost of Production Information,Field Trial Results,Regulatory updates","Internet (websites),Virtual Meetings,Fact Sheets,""California Agriculture"" Journal","University of California Cooperative Extension websites",NA,"30+ years",NA,"100","31","71",NA,"65 - 74 years","Male","White or Caucasian","Yes","Alfalfa, Cotton, Corn Silage","NSJV, NSJV, SSJV"
"68","Consultant (ex. Certified Crop Advisor (CCA), Pest Control Advisor (PCA))","1000","30","0","70","0","Amador,Calaveras,Contra Costa,Fresno,Kern,Kings,Madera,Mariposa,Merced,Monterey,Napa,San Joaquin,San Luis Obispo,Santa Barbara,Sonoma,Stanislaus,Tulare,Tuolumne,Yolo",NA,NA,NA,NA,NA,NA,NA,NA,"1","2",NA,NA,NA,"3",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Somewhat concerned","Somewhat concerned","Somewhat concerned","Somewhat concerned","Somewhat concerned","Somewhat concerned","Very concerned","Very concerned","Very concerned","Very concerned","Very concerned","Somewhat concerned","Somewhat concerned","Somewhat concerned","Somewhat concerned",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Irrigation/Water Management,Nutrient Management,Soil Management","Irrigation/Water Management,Nutrient Management,Soil Management",NA,NA,NA,"Irrigation/Water Management,Nutrient Management,Soil Management",NA,NA,NA,NA,NA,NA,NA,"Sometimes","Often","Sometimes","Sometimes","Often","Often","Often","Often","Rarely","Often","Often","Sometimes","Sometimes",NA,"Certified Crop Advisor,UC Cooperative Extension,Water Quality Coalition,NRCS,State or County Farm Bureau,Field crew","1-2 times/year","3-6 times per year","1-2 times/year","3-6 times per year","1-2 times/year","Very Valuable","Very Valuable","Very Valuable","Very Valuable","High Priority","High Priority","High Priority","High Priority","Medium Priority","Medium Priority","Medium Priority","Medium Priority","Medium Priority","Medium Priority","Medium Priority","Medium Priority","Medium Priority","High Priority","Medium Priority","Medium Priority","Medium Priority","Medium Priority","Medium Priority",NA,"High Satisfaction","High Satisfaction","High Satisfaction","High Satisfaction","High Satisfaction","High Satisfaction","High Satisfaction","High Satisfaction","High Satisfaction","High Satisfaction","High Satisfaction","High Satisfaction","High Satisfaction","High Satisfaction","High Satisfaction","High Satisfaction","High Satisfaction","High Satisfaction","High Satisfaction",NA,"Decision Support Tools,Cost of Production Information,Field Trial Results,Regulatory updates","Webinars,Personal contact (phone, email, on-farm consultation),In-person meetings (Field Days, Grower Meetings),Interactive Web Tools","University of California Cooperative Extension websites",NA,"3-9 years","100","100","0","100",NA,"45 - 54 years","Female","White or Caucasian","Yes","Corn Silage, Small Grain Silage, Sorghum Sudangrass Sudan","Coastal, Sac_Valley, NSJV, SSJV, Coastal, Sierra_Nevada"
"69","Consultant (ex. Certified Crop Advisor (CCA), Pest Control Advisor (PCA))","20000","20","25","50","5","Fresno,Madera,Merced","3",NA,NA,NA,NA,NA,"1","2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Somewhat concerned","Somewhat concerned","Somewhat concerned","Very concerned","Very concerned","Very concerned","Very concerned","Somewhat concerned","Very concerned","Very concerned","Somewhat concerned","Very concerned","Very concerned","Very concerned","Very concerned",NA,"Nutrient Management","Irrigation/Water Management,Nutrient Management",NA,NA,NA,NA,NA,NA,"Nutrient Management",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Always","Always","Always","Always","Always","Always","Always","Always","Never","Often","Often","Often","Often",NA,"Industry,Other Growers,Pesticide Control Advisor,Certified Crop Advisor,UC Cooperative Extension,Water Quality Coalition,Input Supplier (seed supplier, fertilizer supplier, pesticide/herbicide supplier, etc.)","1-2 times/year","3-6 times per year","3-6 times per year","3-6 times per year","Never","Very Valuable","Very Valuable","Very Valuable","Very Valuable","High Priority","High Priority","High Priority","High Priority","High Priority","High Priority","High Priority","High Priority","High Priority","High Priority","High Priority","High Priority","High Priority","High Priority","High Priority","High Priority","Low Priority","High Priority","High Priority",NA,"Medium Satisfaction","Medium Satisfaction","Medium Satisfaction","Medium Satisfaction","Low Satisfaction","Medium Satisfaction","No Opinion","No Opinion","Medium Satisfaction","Low Satisfaction","Low Satisfaction","Low Satisfaction","No Opinion","No Opinion","Low Satisfaction","Low Satisfaction","No Opinion","No Opinion","Low Satisfaction",NA,"Decision Support Tools,Recommendations on how to manage,Cost of Production Information,Farm Economics,Field Trial Results,Regulatory updates","Internet (websites),Blogs,Webinars,Newsletters,UC Cooperative Extension Magazine Articles,Personal contact (phone, email, on-farm consultation),In-person meetings (Field Days, Grower Meetings),Books/manuals,Radio/Podcast,Social Media,Fact Sheets,Interactive Web Tools,Demonstration Videos,Two or three day destination meetings","University of California Cooperative Extension websites,Other state's Cooperative Extension websites (specify which universities):",NA,"3-9 years","100","95","30","70",NA,"26- 34 years","Male","Asian or Asian American","Yes","Alfalfa, Cotton, Corn","NSJV, NSJV, SSJV"
"70","Consultant (ex. Certified Crop Advisor (CCA), Pest Control Advisor (PCA))","10000","50","0","50","0","Colusa,Placer,Sutter,Yuba","2","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,"3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Very concerned","Not  concerned","Somewhat concerned","Very concerned","Very concerned","Very concerned","Somewhat concerned","Somewhat concerned","Very concerned","Very concerned","Somewhat concerned","Very concerned","Somewhat concerned","Not  concerned","Somewhat concerned",NA,"Soil Management",NA,"Weed Control",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Soil Management",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Always","Always","Always","Often","Always","Often","Sometimes","Often","Sometimes","Sometimes","Often","Sometimes","Always",NA,"Industry,Commodity Boards,Other Growers,Pesticide Control Advisor,Certified Crop Advisor,UC Cooperative Extension,State or County Farm Bureau","1-2 times/year","3-6 times per year","1-2 times/year","1-2 times/month","1-2 times/year","Very Valuable","Very Valuable","Very Valuable","Very Valuable","High Priority","High Priority","High Priority","Medium Priority","High Priority","Medium Priority","High Priority","High Priority","High Priority","Low Priority","Low Priority","Medium Priority","Medium Priority","High Priority","Medium Priority","High Priority","High Priority","Low Priority","Medium Priority",NA,"Medium Satisfaction","Medium Satisfaction","Medium Satisfaction","Low Satisfaction","Low Satisfaction","Low Satisfaction","Medium Satisfaction","Medium Satisfaction","Medium Satisfaction","No Opinion","No Opinion","Medium Satisfaction","High Satisfaction","High Satisfaction","No Opinion","Medium Satisfaction","Medium Satisfaction","No Opinion","Low Satisfaction",NA,"Decision Support Tools,Recommendations on how to manage,Cost of Production Information,Farm Economics,Field Trial Results,Regulatory updates","Newsletters,In-person meetings (Field Days, Grower Meetings),Two or three day destination meetings","University of California Cooperative Extension websites,UC Blogs,Vendor Websites",NA,"10-19 years","20","100","40","60",NA,"26- 34 years","Male","White or Caucasian","Yes","Alfalfa, Rice, Grass and Grass Mixtures Hay","Sac_Valley, Sac_Valley, Sierra_Nevada"
"71","Consultant (ex. Certified Crop Advisor (CCA), Pest Control Advisor (PCA))",NA,"30","0","70","0","Calaveras,Merced,San Joaquin,Stanislaus,Tuolumne","3",NA,NA,NA,NA,NA,NA,NA,"1",NA,"2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Somewhat concerned","Not  concerned","Very concerned","Somewhat concerned","Very concerned","Somewhat concerned","Very concerned","Somewhat concerned","Somewhat concerned","Somewhat concerned","Not  concerned","Very concerned","Very concerned","Somewhat concerned","Somewhat concerned",NA,"Weed Control,Insect Pest Control,Soil Management,Labor",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Irrigation/Water Management,Harvest Operations",NA,"Nutrient Management,Disease Control",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Sometimes","Often","Always","Often","Often","Often","Sometimes","Often","Rarely","Sometimes","Always","Sometimes","Often",NA,"Industry,Pesticide Control Advisor,UC Cooperative Extension,Input Supplier (seed supplier, fertilizer supplier, pesticide/herbicide supplier, etc.)","1-2 times/year","Never","1-2 times/year","1-2 times/month","Never","Very Valuable","Somewhat Valuable","Not Valuable","Somewhat Valuable","Medium Priority","Medium Priority","High Priority","High Priority","Medium Priority","Low Priority","Medium Priority","High Priority","Medium Priority","Medium Priority","Low Priority","Medium Priority","Medium Priority","Low Priority","Medium Priority","Medium Priority","Low Priority","Low Priority","Low Priority",NA,"Low Satisfaction","Low Satisfaction","Medium Satisfaction","Medium Satisfaction","Low Satisfaction","Low Satisfaction","Medium Satisfaction","Medium Satisfaction","Medium Satisfaction","Low Satisfaction","Low Satisfaction","Low Satisfaction","Medium Satisfaction","Medium Satisfaction","Medium Satisfaction","Low Satisfaction","Low Satisfaction","Low Satisfaction","Low Satisfaction",NA,"Cost of Production Information,Field Trial Results,Regulatory updates","Internet (websites),Newsletters,Personal contact (phone, email, on-farm consultation),Books/manuals,""California Agriculture"" Journal","University of California Cooperative Extension websites",NA,"30+ years","25","95","20","80",NA,"65 - 74 years","Male","White or Caucasian","No","Alfalfa, Corn Silage, Small Grain Hay","NSJV, NSJV, Sierra_Nevada"
