"","Primary_Vocation","County","Concern_Commodity_Price_of_Crops","Concern_Market_Access","Concern_Consumer_Demand","Concern_Input_Costs","Concern_Water_Costs","Concern_Land_Tenure","Concern_Water_Quality_and_Availability","Concern_Labor_Quality_and_Availability","Concern_Water_Regulations_Quantity","Concern_Water_Regulations_Quality","Concern_Labor_Regulations","Concern_Chemical_Regulations","Concern_Air_Quality","Concern_Changing_Weather_and_Climate","Concern_Soil_Degradation","Information_Sources","UCCE_Engagement_Attend_Field_Day","UCCE_Engagement_Read_Blog","UCCE_Engagement_Call_Advisor","UCCE_Engagement_Read_Newsletter","UCCE_Engagement_Interact_with_Social_Media","Priority_Irrigation_Management","Priority_Water_Conservation_and_Storage","Priority_Nutrient_Management","Priority_Salinity_Management","Priority_Soil_Health_Management","Priority_Cover_Crops","Priority_Weed_Control","Priority_Insect_Pest_Control","Priority_Disease_Control","Priority_Manure_Management","Priority_Compost_Management","Priority_Crop_Establishment","Priority_Variety_Testing","Priority_Harvest_and_Postharvest","Priority_Emerging_Crops","Priority_Testing_New_Products","Priority_Niche_Marketing_Field_Crops","Priority_Greenhouse_Gas_Emissions_Reduction","Priority_Organic_Production","Satisfaction_Irrigation_Management","Satisfaction_Water_Conservation_and_Storage","Satisfaction_Nutrient_Management","Satisfaction_Salinity_Management","Satisfaction_Soil_Health_Management","Satisfaction_Cover_Crops","Satisfaction_Weed_Control","Satisfaction_Insect_Pest_Control","Satisfaction_Disease_Control","Satisfaction_Manure_Management","Satisfaction_Compost_Management","Satisfaction_Crop_Establishment","Satisfaction_Variety_Testing","Satisfaction_Harvest_and_Postharvest","Satisfaction_Emerging_Crops","Satisfaction_Testing_New_Products","Satisfaction_Niche_Marketing_Field_Crops","Satisfaction_Greenhouse_Gas_Emissions_Reduction","Satisfaction_Organic_Production","UCCE_Information_Types_Requested","UCCE_Information_Preferred_Contact","Internet_Information_Sources","Age_Range","Gender","Race_Ethnicity","Gift_Card","Region"
"32","Other (please specify):","Fresno,Glenn,Kern,Kings,Madera,Merced,Sacramento,San Joaquin,Solano,Sonoma,Stanislaus,Sutter,Tehama,Tulare","Somewhat concerned","Somewhat concerned","Somewhat concerned","Somewhat concerned","Somewhat concerned","Somewhat concerned","Very concerned","Somewhat concerned","Very concerned","Very concerned","Somewhat concerned","Very concerned","Very concerned","Very concerned","Very concerned","Industry,UC Cooperative Extension,NRCS","1-2 times/year","1-2 times/year","Never","1-2 times/year","Never","High Priority","High Priority","High Priority","High Priority","High Priority","High Priority","High Priority","High Priority","High Priority","High Priority","Medium Priority","Medium Priority","High Priority","High Priority","Medium Priority","High Priority","Low Priority","High Priority","Low Priority","High Satisfaction","High Satisfaction","High Satisfaction","High Satisfaction","High Satisfaction","High Satisfaction","High Satisfaction","High Satisfaction","High Satisfaction","High Satisfaction","No Opinion","High Satisfaction","No Opinion","High Satisfaction","High Satisfaction","High Satisfaction","No Opinion","Medium Satisfaction","No Opinion","Decision Support Tools,Recommendations on how to manage,Cost of Production Information,Farm Economics,Field Trial Results,Regulatory updates","Internet (websites),Blogs,Webinars,Newsletters,UC Cooperative Extension Magazine Articles,In-person meetings (Field Days, Grower Meetings),Radio/Podcast,Fact Sheets","University of California Cooperative Extension websites,Commodity Board websites","55 - 64 years","Male","White or Caucasian","Yes","Sac_Valley, Sac_Valley, NSJV, SSJV, Coastal"
"33","Other (please specify):","San Diego","Very concerned","Very concerned","Very concerned","Very concerned","Very concerned","Somewhat concerned","Very concerned","Very concerned","Very concerned","Very concerned","Very concerned","Very concerned","Somewhat concerned","Somewhat concerned","Somewhat concerned","Other Growers,State or County Farm Bureau,County Agricultural Commissioner","Never","1-2 times/year","Never","3-6 times per year","Never","High Priority","Medium Priority","Medium Priority","Medium Priority","Medium Priority","Medium Priority","High Priority","High Priority","Medium Priority","High Priority","High Priority","Medium Priority","Medium Priority","Medium Priority","Low Priority","Medium Priority","High Priority","Medium Priority","High Priority","Medium Satisfaction","Medium Satisfaction","Medium Satisfaction","Low Satisfaction","Low Satisfaction","Low Satisfaction","Medium Satisfaction","Medium Satisfaction","Medium Satisfaction","Low Satisfaction","Medium Satisfaction","Medium Satisfaction","Medium Satisfaction","Medium Satisfaction","Medium Satisfaction","Medium Satisfaction","Low Satisfaction","Medium Satisfaction","Medium Satisfaction","Recommendations on how to manage,Cost of Production Information,Farm Economics,Regulatory updates","Newsletters,Fact Sheets,Demonstration Videos","I don't look for field crop production information on the internet","55 - 64 years","Male","White or Caucasian","Yes","Coastal, Coastal"
"34","Other (please specify):","San Diego","Very concerned","Very concerned","Very concerned","Very concerned","Very concerned","Somewhat concerned","Very concerned","Somewhat concerned","Somewhat concerned","Very concerned","Somewhat concerned","Very concerned","Very concerned","Very concerned","Very concerned","Industry,Commodity Boards,Other Growers,UC Cooperative Extension,Environmental Groups,Resource Conservation Districts,Water Quality Coalition,NRCS,State or County Farm Bureau,Family members,County Agricultural Commissioner,Non-Profit Organization (please specify),Other (please specify):","1-2 times/year","1-3 times/week","1-2 times/year","1-3 times/week","Never","High Priority","High Priority","High Priority","High Priority","High Priority","High Priority","Low Priority","Low Priority","High Priority","High Priority","High Priority","High Priority","High Priority","Low Priority","Low Priority","Low Priority","Low Priority","High Priority","High Priority","Medium Satisfaction","Medium Satisfaction","Medium Satisfaction","Medium Satisfaction","Medium Satisfaction","Medium Satisfaction","Medium Satisfaction","Medium Satisfaction","Medium Satisfaction","Medium Satisfaction","Medium Satisfaction","Medium Satisfaction","Medium Satisfaction","Medium Satisfaction","Medium Satisfaction","Medium Satisfaction","Medium Satisfaction","Low Satisfaction","Low Satisfaction","Decision Support Tools,Recommendations on how to manage,Cost of Production Information,Farm Economics,Field Trial Results,Regulatory updates,Other (please specify):","Internet (websites),Newsletters,UC Cooperative Extension Magazine Articles,Books/manuals,Fact Sheets,Demonstration Videos,""California Agriculture"" Journal","University of California Cooperative Extension websites","55 - 64 years","Male","White or Caucasian","Yes","Coastal, Coastal"
"35","Other (please specify):","Sutter","Very concerned","Very concerned","Somewhat concerned","Very concerned","Very concerned","Very concerned","Very concerned","Very concerned","Very concerned","Very concerned","Very concerned","Very concerned","Somewhat concerned","Somewhat concerned","Very concerned",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Sac_Valley, Sac_Valley"
"36","Other (please specify):","Siskiyou","Somewhat concerned","Somewhat concerned","Somewhat concerned","Somewhat concerned","Somewhat concerned","Somewhat concerned","Somewhat concerned","Somewhat concerned","Somewhat concerned","Somewhat concerned","Somewhat concerned","Somewhat concerned","Somewhat concerned","Somewhat concerned","Somewhat concerned",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Intermountain"
"37","Allied Industry (e.g. Input supplier, manufacturer, processor, etc.) (please specify):","Amador,Del Norte,Lake,Monterey,San Diego,Siskiyou,Tulare","Not  concerned","Somewhat concerned","Very concerned","Somewhat concerned","Very concerned","Somewhat concerned","Not  concerned","Somewhat concerned","Very concerned","Very concerned","Somewhat concerned","Not  concerned","Not  concerned","Somewhat concerned","Very concerned","Other Growers,UC Cooperative Extension,State or County Farm Bureau,Field crew,County Agricultural Commissioner","1-2 times/month","3-6 times per year","Never","1-2 times/month","3-6 times per year","Medium Priority","Low Priority","High Priority","No Opinion","Medium Priority","Low Priority","Low Priority","No Opinion","High Priority","Medium Priority","Low Priority","No Opinion","Medium Priority","No Opinion","No Opinion","Medium Priority","Low Priority","High Priority","Low Priority","Low Satisfaction","No Opinion","High Satisfaction","No Opinion","Medium Satisfaction","Low Satisfaction","Medium Satisfaction","Low Satisfaction","No Opinion","Medium Satisfaction","Low Satisfaction","High Satisfaction","No Opinion","Medium Satisfaction","Low Satisfaction","Medium Satisfaction","Low Satisfaction","High Satisfaction","No Opinion","Decision Support Tools,Cost of Production Information,Regulatory updates","Webinars,UC Cooperative Extension Magazine Articles,Demonstration Videos","Commodity Board websites,Facebook,Twitter","35 - 44 years","Female","White or Caucasian","Yes","Coastal, SSJV, Coastal, Sierra_Nevada"
"38","Allied Industry (e.g. Input supplier, manufacturer, processor, etc.) (please specify):","Colusa,Fresno,Imperial,Inyo,Kern,Kings,Madera,Merced,Modoc,Monterey,Riverside,San Diego,San Luis Obispo,Santa Barbara,Tulare,Ventura","Very concerned","Somewhat concerned","Somewhat concerned","Very concerned","Very concerned","Very concerned","Somewhat concerned","Very concerned","Very concerned","Somewhat concerned","Very concerned","Very concerned","Very concerned","Somewhat concerned","Somewhat concerned","Industry,Pesticide Control Advisor,County Agricultural Commissioner","Never","3-6 times per year","Never","1-2 times/year","Never","Medium Priority","Medium Priority","Medium Priority","Medium Priority","Medium Priority","Medium Priority","High Priority","High Priority","Medium Priority","Medium Priority","High Priority","Medium Priority","High Priority","Medium Priority","High Priority","High Priority","High Priority","Medium Priority","Medium Priority","Medium Satisfaction","Medium Satisfaction","Medium Satisfaction","Medium Satisfaction","Medium Satisfaction","Medium Satisfaction","Medium Satisfaction","Low Satisfaction","Medium Satisfaction","Medium Satisfaction","Low Satisfaction","No Opinion","Low Satisfaction","Medium Satisfaction","Medium Satisfaction","Low Satisfaction","Low Satisfaction","Medium Satisfaction","Medium Satisfaction","Farm Economics,Field Trial Results,Regulatory updates","Webinars,Newsletters,UC Cooperative Extension Magazine Articles,Books/manuals,Demonstration Videos,""California Agriculture"" Journal","University of California Cooperative Extension websites,Commodity Board websites,Vendor Websites","35 - 44 years","Male","White or Caucasian","Yes","Coastal, Sac_Valley, NSJV, SSJV, Desert, Coastal, Sierra_Nevada"
"39","Allied Industry (e.g. Input supplier, manufacturer, processor, etc.) (please specify):","Fresno,Kern,Kings,Riverside,San Bernardino,San Luis Obispo,Tulare","Somewhat concerned","Very concerned","Somewhat concerned","Not  concerned","Very concerned","Not  concerned","Very concerned","Somewhat concerned","Very concerned","Very concerned","Not  concerned","Very concerned","Somewhat concerned","Not  concerned","Very concerned","Industry,UC Cooperative Extension","1-2 times/year","1-2 times/year","Never","1-2 times/year","Never","Medium Priority","Low Priority","Low Priority","Medium Priority","High Priority","High Priority","Low Priority","Low Priority","Low Priority","Low Priority","Low Priority","Medium Priority","Medium Priority","Low Priority","Low Priority","Low Priority","Low Priority","Low Priority","Medium Priority","Low Satisfaction","Low Satisfaction","No Opinion","No Opinion","No Opinion","Low Satisfaction","No Opinion","No Opinion","No Opinion","No Opinion","No Opinion","No Opinion","Low Satisfaction","No Opinion","No Opinion","No Opinion","No Opinion","No Opinion","No Opinion","Field Trial Results","Internet (websites)","University of California Cooperative Extension websites","55 - 64 years","Male","White or Caucasian","No","SSJV, SSJV, Desert, Coastal"
"40","Allied Industry (e.g. Input supplier, manufacturer, processor, etc.) (please specify):","Butte,Colusa,Fresno,Imperial,Kern,Kings,Madera,Merced,Monterey,Napa,Riverside,Sacramento,San Bernardino,San Diego,San Joaquin,San Luis Obispo,Santa Barbara,Stanislaus,Tulare,Ventura,Yolo ,Yuba","Somewhat concerned","Somewhat concerned","Not  concerned","Not  concerned","Somewhat concerned","Somewhat concerned","Very concerned","Very concerned","Very concerned","Somewhat concerned","Somewhat concerned","Very concerned","Somewhat concerned","Very concerned","Somewhat concerned","Industry,Commodity Boards,Pesticide Control Advisor,UC Cooperative Extension","3-6 times per year","3-6 times per year","Never","3-6 times per year","Never","Medium Priority","Medium Priority","High Priority","High Priority","High Priority","Medium Priority","Low Priority","Low Priority","Low Priority","Medium Priority","Medium Priority","Low Priority","Medium Priority","Low Priority","Medium Priority","Medium Priority","Low Priority","Medium Priority","Low Priority","Medium Satisfaction","Medium Satisfaction","High Satisfaction","Medium Satisfaction","Medium Satisfaction","High Satisfaction","High Satisfaction","High Satisfaction","High Satisfaction","Medium Satisfaction","Medium Satisfaction","High Satisfaction","Medium Satisfaction","High Satisfaction","Medium Satisfaction","Medium Satisfaction","Medium Satisfaction","Medium Satisfaction","Medium Satisfaction","Decision Support Tools,Cost of Production Information,Field Trial Results","Internet (websites),Webinars,Virtual Meetings,In-person meetings (Field Days, Grower Meetings),Fact Sheets,Interactive Web Tools,Demonstration Videos,""California Agriculture"" Journal","University of California Cooperative Extension websites,UC Blogs,Other state's Cooperative Extension websites (specify which universities):,Vendor Websites","35 - 44 years","Male","White or Caucasian","Yes","Coastal, Sac_Valley, NSJV, SSJV, Desert, Coastal"
"41","Allied Industry (e.g. Input supplier, manufacturer, processor, etc.) (please specify):","Fresno,Imperial,Kern,Kings,Madera,Merced,Monterey,Napa,Riverside,Sacramento,San Benito,San Diego,San Joaquin,San Luis Obispo,Santa Barbara,Sonoma,Stanislaus,Tulare,Ventura,Yolo ,Yuba","Very concerned","Somewhat concerned","Somewhat concerned","Very concerned","Very concerned","Very concerned","Very concerned","Very concerned","Very concerned","Very concerned","Very concerned","Somewhat concerned","Somewhat concerned","Somewhat concerned","Somewhat concerned","Industry,Commodity Boards,Other Growers,UC Cooperative Extension,NRCS,State or County Farm Bureau,Input Supplier (seed supplier, fertilizer supplier, pesticide/herbicide supplier, etc.),County Agricultural Commissioner","1-2 times/year","Never","Never","Never","Never","High Priority","Medium Priority","Medium Priority","Medium Priority","Medium Priority","Medium Priority","Medium Priority","Medium Priority","Medium Priority","Medium Priority","Medium Priority","High Priority","Medium Priority","High Priority","High Priority","Low Priority","Medium Priority","Low Priority","High Priority","Medium Satisfaction","Low Satisfaction","Medium Satisfaction","Medium Satisfaction","Medium Satisfaction","Medium Satisfaction","Medium Satisfaction","Medium Satisfaction","Medium Satisfaction","Medium Satisfaction","Medium Satisfaction","Medium Satisfaction","Medium Satisfaction","Medium Satisfaction","Medium Satisfaction","Medium Satisfaction","Medium Satisfaction","No Opinion","Medium Satisfaction","Decision Support Tools,Cost of Production Information,Farm Economics","Internet (websites),Personal contact (phone, email, on-farm consultation),In-person meetings (Field Days, Grower Meetings),Fact Sheets,Interactive Web Tools","University of California Cooperative Extension websites,Commodity Board websites","75 years and over","Male","White or Caucasian","Yes","Coastal, Sac_Valley, NSJV, SSJV, Desert, Coastal"
"42","Allied Industry (e.g. Input supplier, manufacturer, processor, etc.) (please specify):","San Luis Obispo","Somewhat concerned","Very concerned","Very concerned","Very concerned","Somewhat concerned","Somewhat concerned","Somewhat concerned","Very concerned","Somewhat concerned","Somewhat concerned","Very concerned","Very concerned","Very concerned","Very concerned","Somewhat concerned","Industry,Other Growers,Pesticide Control Advisor,Certified Crop Advisor,UC Cooperative Extension,State or County Farm Bureau,Input Supplier (seed supplier, fertilizer supplier, pesticide/herbicide supplier, etc.),County Agricultural Commissioner","1-2 times/month","1-2 times/month","3-6 times per year","3-6 times per year","1-2 times/year","Medium Priority","Medium Priority","Medium Priority","Medium Priority","Medium Priority","Medium Priority","Medium Priority","High Priority","High Priority","Medium Priority","Medium Priority","High Priority","Medium Priority","Medium Priority","Medium Priority","High Priority","Medium Priority","Medium Priority","High Priority","High Satisfaction","High Satisfaction","High Satisfaction","High Satisfaction","High Satisfaction","High Satisfaction","High Satisfaction","High Satisfaction","High Satisfaction","High Satisfaction","High Satisfaction","High Satisfaction","High Satisfaction","High Satisfaction","High Satisfaction","High Satisfaction","High Satisfaction","High Satisfaction","High Satisfaction",NA,"Internet (websites),Webinars,Virtual Meetings,Newsletters,UC Cooperative Extension Magazine Articles,Fact Sheets,Interactive Web Tools,""California Agriculture"" Journal","University of California Cooperative Extension websites","35 - 44 years","Female","White or Caucasian","Yes","Coastal, Coastal"
"43","Allied Industry (e.g. Input supplier, manufacturer, processor, etc.) (please specify):","Alpine,Amador,Butte,Calaveras,Colusa,Contra Costa,El Dorado,Fresno,Glenn,Humboldt,Imperial,Kern,Kings,Lake,Lassen,Madera,Mariposa,Monterey,Napa,Placer,Plumas,Riverside,Sacramento,San Joaquin,San Luis Obispo,Siskiyou,Solano,Sonoma,Stanislaus,Sutter,Tehama,Tulare,Ventura,Yolo ,Yuba","Very concerned","Very concerned","Very concerned","Very concerned","Very concerned","Very concerned","Very concerned","Very concerned","Very concerned","Very concerned","Very concerned","Very concerned","Very concerned","Somewhat concerned","Somewhat concerned","Industry,Pesticide Control Advisor,UC Cooperative Extension,NRCS,State or County Farm Bureau,Input Supplier (seed supplier, fertilizer supplier, pesticide/herbicide supplier, etc.),Family members","3-6 times per year","3-6 times per year","1-2 times/year","1-2 times/year","1-2 times/year","Medium Priority","Medium Priority","High Priority","High Priority","Medium Priority","High Priority","Medium Priority","Medium Priority","High Priority","High Priority","Medium Priority","Medium Priority","High Priority","High Priority","High Priority","High Priority","High Priority","Low Priority","Medium Priority","High Satisfaction","High Satisfaction","Medium Satisfaction","Medium Satisfaction","Medium Satisfaction","Medium Satisfaction","Medium Satisfaction","High Satisfaction","Medium Satisfaction","Medium Satisfaction","Medium Satisfaction","High Satisfaction","Medium Satisfaction","High Satisfaction","Medium Satisfaction","Medium Satisfaction","Medium Satisfaction","Medium Satisfaction","Medium Satisfaction","Decision Support Tools,Recommendations on how to manage,Field Trial Results,Regulatory updates","Internet (websites),Fact Sheets,Interactive Web Tools","University of California Cooperative Extension websites","45 - 54 years","Male","White or Caucasian","Yes","Sac_Valley, Sac_Valley, NSJV, SSJV, Desert, Coastal, Sierra_Nevada"
"44","Allied Industry (e.g. Input supplier, manufacturer, processor, etc.) (please specify):","Butte,Colusa,Glenn,Madera,Merced,Sacramento,San Joaquin,Stanislaus,Yolo","Somewhat concerned","Somewhat concerned","Not  concerned","Very concerned","Very concerned","Very concerned","Very concerned","Very concerned","Very concerned","Very concerned","Somewhat concerned","Somewhat concerned","Very concerned","Very concerned","Very concerned","Industry,Commodity Boards,Other Growers,Pesticide Control Advisor,Certified Crop Advisor,UC Cooperative Extension,NRCS,State or County Farm Bureau,Input Supplier (seed supplier, fertilizer supplier, pesticide/herbicide supplier, etc.),Family members","1-2 times/year","3-6 times per year","Never","1-2 times/month","Never","Medium Priority","High Priority","High Priority","High Priority","High Priority","Medium Priority","High Priority","High Priority","High Priority","High Priority","High Priority","High Priority","High Priority","High Priority","Low Priority","High Priority","High Priority","High Priority","High Priority","Medium Satisfaction","Medium Satisfaction","High Satisfaction","Medium Satisfaction","Medium Satisfaction","No Opinion","Medium Satisfaction","Medium Satisfaction","Medium Satisfaction","High Satisfaction","High Satisfaction","Medium Satisfaction","Medium Satisfaction","Medium Satisfaction","Medium Satisfaction","Medium Satisfaction","Medium Satisfaction","Medium Satisfaction","Medium Satisfaction","Decision Support Tools,Cost of Production Information,Farm Economics,Regulatory updates","Internet (websites),Radio/Podcast,Social Media,Interactive Web Tools,Demonstration Videos,Two or three day destination meetings,""California Agriculture"" Journal","University of California Cooperative Extension websites,UC Blogs,Farmer network or forum (please specify)","26- 34 years","Male","White or Caucasian,Prefer not to say","Yes","Sac_Valley, Sac_Valley, NSJV"
"45","Allied Industry (e.g. Input supplier, manufacturer, processor, etc.) (please specify):","Alameda,Alpine,Amador,Butte,Calaveras,Colusa,Contra Costa,Del Norte,El Dorado,Fresno,Glenn,Humboldt,Imperial,Inyo,Kern,Kings,Lake,Lassen,Los Angeles,Madera,Marin,Mariposa,Mendocino,Merced,Modoc,Mono,Monterey,Napa,Nevada,Orange,Placer,Plumas,Riverside,Sacramento,San Benito,San Bernardino,San Diego,San Francisco,San Joaquin,San Luis Obispo,San Mateo ,Santa Barbara,Santa Clara,Santa Cruz,Shasta,Sierra,Siskiyou,Solano,Sonoma,Stanislaus,Sutter,Tehama,Trinity,Tulare,Tuolumne,Ventura,Yolo ,Yuba","Not  concerned","Not  concerned","Not  concerned","Not  concerned","Very concerned","Very concerned","Very concerned","Somewhat concerned","Very concerned","Very concerned","Somewhat concerned","Somewhat concerned","Somewhat concerned","Very concerned","Very concerned","Industry,Other Growers,UC Cooperative Extension,Resource Conservation Districts,Input Supplier (seed supplier, fertilizer supplier, pesticide/herbicide supplier, etc.),County Agricultural Commissioner,Non-Profit Organization (please specify),Other (please specify):","1-2 times/year","3-6 times per year","Never","3-6 times per year","1-2 times/year","High Priority","High Priority","High Priority","High Priority","High Priority","High Priority","Medium Priority","Low Priority","Low Priority","Medium Priority","Medium Priority","High Priority","High Priority","Low Priority","Medium Priority","Medium Priority","Low Priority","Medium Priority","Low Priority","Medium Satisfaction","Medium Satisfaction","Medium Satisfaction","Medium Satisfaction","Low Satisfaction","Low Satisfaction","Medium Satisfaction","Medium Satisfaction","Medium Satisfaction","Medium Satisfaction","Medium Satisfaction","Medium Satisfaction","Low Satisfaction","Medium Satisfaction","Medium Satisfaction","Medium Satisfaction","Medium Satisfaction","Medium Satisfaction","Medium Satisfaction","Decision Support Tools,Recommendations on how to manage,Cost of Production Information,Farm Economics,Field Trial Results","Internet (websites),Webinars,Virtual Meetings,Newsletters,UC Cooperative Extension Magazine Articles,Personal contact (phone, email, on-farm consultation),In-person meetings (Field Days, Grower Meetings),Books/manuals,Social Media,Fact Sheets,Interactive Web Tools,Demonstration Videos,Two or three day destination meetings,""California Agriculture"" Journal","University of California Cooperative Extension websites,UC Blogs,Other state's Cooperative Extension websites (specify which universities):,YouTube (who/what channel?),Other (specify)","45 - 54 years","Male","White or Caucasian","No","Coastal, Sac_Valley, NSJV, SSJV, Desert, Coastal, Sierra_Nevada"
"46","Allied Industry (e.g. Input supplier, manufacturer, processor, etc.) (please specify):","Fresno,Kern,Kings,Madera,Merced,Tulare","Very concerned","Somewhat concerned","Somewhat concerned","Somewhat concerned","Very concerned","Very concerned","Very concerned","Very concerned","Very concerned","Very concerned","Very concerned","Somewhat concerned","Very concerned","Not  concerned","Somewhat concerned","Industry,Other Growers,UC Cooperative Extension,Input Supplier (seed supplier, fertilizer supplier, pesticide/herbicide supplier, etc.),Family members,Field crew","3-6 times per year","1-2 times/month","3-6 times per year","1-2 times/month","Never","Medium Priority","Medium Priority","Medium Priority","Medium Priority","Medium Priority","Medium Priority","High Priority","High Priority","High Priority","Medium Priority","Medium Priority","Low Priority","Low Priority","Medium Priority","Medium Priority","High Priority","Low Priority","Low Priority","Low Priority","Medium Satisfaction","Medium Satisfaction","Medium Satisfaction","Low Satisfaction","Low Satisfaction","Low Satisfaction","No Opinion","No Opinion","High Satisfaction","No Opinion","No Opinion","No Opinion","Low Satisfaction","No Opinion","Medium Satisfaction","Medium Satisfaction","No Opinion","No Opinion","Low Satisfaction","Field Trial Results,Regulatory updates","Internet (websites),Newsletters,In-person meetings (Field Days, Grower Meetings),Fact Sheets","University of California Cooperative Extension websites,YouTube (who/what channel?)","35 - 44 years","Male","Other (please specify)","Yes","SSJV, NSJV, SSJV"
"47","Allied Industry (e.g. Input supplier, manufacturer, processor, etc.) (please specify):","Fresno,Kern,Kings,Madera,Merced,San Luis Obispo","Very concerned","Not  concerned","Not  concerned","Very concerned","Very concerned","Somewhat concerned","Very concerned","Somewhat concerned","Very concerned","Somewhat concerned","Somewhat concerned","Somewhat concerned","Somewhat concerned","Very concerned","Somewhat concerned","Industry,Pesticide Control Advisor,Certified Crop Advisor,UC Cooperative Extension,NRCS","1-2 times/month","1-2 times/month","1-2 times/year","1-2 times/month","Never","High Priority","Low Priority","High Priority","High Priority","Low Priority","Medium Priority","Medium Priority","Medium Priority","Medium Priority","Medium Priority","Medium Priority","Low Priority","Low Priority","Low Priority","Low Priority",NA,"Low Priority","Medium Priority","Low Priority","High Satisfaction","High Satisfaction","High Satisfaction","High Satisfaction","Low Satisfaction","Medium Satisfaction","High Satisfaction","High Satisfaction","High Satisfaction","Medium Satisfaction","Medium Satisfaction","Medium Satisfaction","Medium Satisfaction","Medium Satisfaction","No Opinion","Medium Satisfaction","No Opinion","Medium Satisfaction","Medium Satisfaction","Recommendations on how to manage,Cost of Production Information,Farm Economics,Field Trial Results","Internet (websites),Webinars,Virtual Meetings,Newsletters,UC Cooperative Extension Magazine Articles,Personal contact (phone, email, on-farm consultation),In-person meetings (Field Days, Grower Meetings),Fact Sheets,Two or three day destination meetings,""California Agriculture"" Journal","University of California Cooperative Extension websites,Other (specify)","75 years and over","Male","White or Caucasian","Yes","SSJV, NSJV, SSJV, Coastal"
"48","Allied Industry (e.g. Input supplier, manufacturer, processor, etc.) (please specify):","Butte,Colusa,Contra Costa,Glenn,Madera,Merced,Sacramento,San Joaquin,Solano,Stanislaus,Sutter,Yolo","Somewhat concerned","Somewhat concerned","Somewhat concerned","Somewhat concerned","Very concerned","Very concerned","Somewhat concerned","Somewhat concerned","Very concerned","Very concerned","Somewhat concerned","Somewhat concerned","Very concerned","Somewhat concerned","Somewhat concerned","Industry,Other Growers,Pesticide Control Advisor,Certified Crop Advisor,Family members","Never","1-2 times/year","Never","1-2 times/year","1-2 times/year","High Priority","High Priority","Medium Priority","High Priority","High Priority","Medium Priority","Medium Priority","Medium Priority","Medium Priority","Medium Priority","Medium Priority","High Priority","Medium Priority","Medium Priority","Medium Priority","High Priority","Medium Priority","Medium Priority","Low Priority","Medium Satisfaction","Medium Satisfaction","Medium Satisfaction","Medium Satisfaction","Medium Satisfaction","Medium Satisfaction","Medium Satisfaction","Medium Satisfaction","Medium Satisfaction","Medium Satisfaction","Medium Satisfaction","Medium Satisfaction","Medium Satisfaction","Medium Satisfaction","Medium Satisfaction","Medium Satisfaction","Medium Satisfaction","Medium Satisfaction","Medium Satisfaction","Decision Support Tools,Recommendations on how to manage,Cost of Production Information,Farm Economics,Field Trial Results,Regulatory updates","Internet (websites),Newsletters,UC Cooperative Extension Magazine Articles,In-person meetings (Field Days, Grower Meetings),Fact Sheets","University of California Cooperative Extension websites,Other state's Cooperative Extension websites (specify which universities):,Vendor Websites","26- 34 years","Male","White or Caucasian","Yes","Sac_Valley, Sac_Valley, NSJV, Coastal"
"49","Allied Industry (e.g. Input supplier, manufacturer, processor, etc.) (please specify):","Imperial","Very concerned","Somewhat concerned","Somewhat concerned","Somewhat concerned","Not  concerned","Somewhat concerned","Not  concerned","Somewhat concerned","Somewhat concerned","Somewhat concerned","Very concerned","Very concerned","Very concerned","Very concerned","Somewhat concerned","Other Growers,Pesticide Control Advisor,Certified Crop Advisor,UC Cooperative Extension,State or County Farm Bureau,Input Supplier (seed supplier, fertilizer supplier, pesticide/herbicide supplier, etc.)","1-2 times/year","3-6 times per year","1-2 times/year","1-2 times/month","Never","Medium Priority","High Priority","High Priority","High Priority","High Priority","Medium Priority","High Priority","High Priority","High Priority","No Opinion","No Opinion","Medium Priority","Medium Priority","Medium Priority","Medium Priority","High Priority","Medium Priority","Low Priority","Low Priority","High Satisfaction","High Satisfaction","Medium Satisfaction","Medium Satisfaction","High Satisfaction","Medium Satisfaction","Medium Satisfaction","Medium Satisfaction","Medium Satisfaction","No Opinion","No Opinion","Medium Satisfaction","Medium Satisfaction","Medium Satisfaction","Medium Satisfaction","Medium Satisfaction","Medium Satisfaction","Medium Satisfaction","Medium Satisfaction","Decision Support Tools,Cost of Production Information,Farm Economics,Field Trial Results,Regulatory updates","Internet (websites),Webinars,Newsletters,In-person meetings (Field Days, Grower Meetings),Interactive Web Tools,Demonstration Videos","University of California Cooperative Extension websites,UC Blogs,Commodity Board websites","65 - 74 years","Male","White or Caucasian","No","Desert, Desert"
