"","Question"
"Q13b_19","Rate your current level of satisfaction with UCCE's delivery of information on these topics - Organic Production"
"Q13b_20","Rate your current level of satisfaction with UCCE's delivery of information on these topics - Other (please specify)"
"Q13b_20_TEXT","Rate your current level of satisfaction with UCCE's delivery of information on these topics - Other (please specify) - Text"
"Q14","What type of information would you like to receive from UC Cooperative Extension? - Selected Choice"
"Q14_9_TEXT","What type of information would you like to receive from UC Cooperative Extension? - Other (please specify): - Text"
"Q15","How would you prefer to receive information from UC Cooperative Extension (check all that apply) - Selected Choice"
"Q15_11_TEXT","How would you prefer to receive information from UC Cooperative Extension (check all that apply) - Other (specify) - Text"
"Q16","Where do you most often look for field crop production information on the internet? - Selected Choice"
"Q16_5_TEXT","Where do you most often look for field crop production information on the internet? - Other state's Cooperative Extension websites (specify which universities): - Text"
"Q16_6_TEXT","Where do you most often look for field crop production information on the internet? - Farmer network or forum (please specify) - Text"
"Q16_7_TEXT","Where do you most often look for field crop production information on the internet? - YouTube (who/what channel?) - Text"
"Q16_9_TEXT","Where do you most often look for field crop production information on the internet? - Other (specify) - Text"
"Q17_1","How long have you been involved in field crop production? - Years involved in agronomic crop production on any farm"
"Q17_2","How long have you been involved in field crop production? - Years on present farm"
"Q17c","How long have you been consulting on field crops?"
"Q18_4","Approximately what percentage of your total income comes from farming? - % income from farming"
"Q18c_4","Approximately what percentage of your total income comes from consulting? - % income from consulting"
"Q19_4","Of the total acres you manage or consult on annually, what % are irrigated? - % total irrigated acres"
"Q20_1","Of the total acres you manage or consult on annually, what % are leased or owned? - % Leased"
"Q20_2","Of the total acres you manage or consult on annually, what % are leased or owned? - % Owned"
"Q21","Do you have ideas for applied research or Extension that you would like to see tested?"
"Q22","Optional Demographic Questions:
Age"
"Q23","How do you describe yourself?"
"Q24","Race/Ethnicity (check one or more) - Selected Choice"
"Q24_7_TEXT","Race/Ethnicity (check one or more) - Other (please specify) - Text"
"Q25","Thank you so much for completing this questionnaire! Would you like to enter your email address to receive a $10 gift card?"
"Q6_13_TEXT - Sentiment","Q6_13_TEXT - Sentiment"
"Q6_13_TEXT - Sentiment Score","Q6_13_TEXT - Sentiment Score"
"Q6_13_TEXT - Sentiment Polarity","Q6_13_TEXT - Sentiment Polarity"
"Q6_13_TEXT - Topic Sentiment Label","Q6_13_TEXT - Topic Sentiment Label"
"Q6_13_TEXT - Topic Sentiment Score","Q6_13_TEXT - Topic Sentiment Score"
"Q6_13_TEXT - Topics","Q6_13_TEXT - Topics"
"Q6_13_TEXT - Parent Topics","Q6_13_TEXT - Parent Topics"
"Size Quartile 1","Size Quartile 1"
"Q1_6_TEXT - Sentiment","Q1_6_TEXT - Sentiment"
"Q1_6_TEXT - Sentiment Score","Q1_6_TEXT - Sentiment Score"
"Q1_6_TEXT - Sentiment Polarity","Q1_6_TEXT - Sentiment Polarity"
"Q1_6_TEXT - Topic Sentiment Label","Q1_6_TEXT - Topic Sentiment Label"
"Q1_6_TEXT - Topic Sentiment Score","Q1_6_TEXT - Topic Sentiment Score"
"Q1_6_TEXT - Topics","Q1_6_TEXT - Topics"
"Q1_6_TEXT - Parent Topics","Q1_6_TEXT - Parent Topics"
"Primary_Vocation","What is your primary vocation (defined as taking up 75% or more of your time)? 
**please answer the rest of the questions on this survey as they relate to your primary vocation - Selected Choice"
"Acres_Managed","How many acres do you manage annually (give an estimate)?"
"Acres_Consulted","How many acres do you consult on annually (give an estimate)?"
"Percentage_of_Acres_Field_Crops","Of these acres, in a given year estimate approximately what percentage are in the following categories? - Field Crops (ex. alfalfa, small grains, hay, grazed pasture, silage, rice, corn, cotton, sorghum, sunflower, beans, oilseeds, etc.)"
"Percentage_of_Acres_Vegetable_Crops","Of these acres, in a given year estimate approximately what percentage are in the following categories? - Vegetable Crops (ex. processing tomatoes, fresh vegetables - lettuce, melons, onions; vegetable seed production)"
"Percentage_of_Acres_Tree_and_Vine_Crops","Of these acres, in a given year estimate approximately what percentage are in the following categories? - Tree and Vine Crops (ex. almonds, walnuts, pistachio, grapes, fresh fruit trees)"
"Percentage_of_Acres_Other","Of these acres, in a given year estimate approximately what percentage are in the following categories? - Other (please specify):"
"Percentage_of_Time_Field_Crops","In a given year, approximately what percentage of your time is dedicated to consulting in the following categories? - Field Crops (ex. alfalfa, small grains, hay, grazed pasture, silage, rice, corn, cotton, sorghum, sunflower, beans, oilseeds, etc.)"
"Percentage_of_Time_Vegetable_Crops","In a given year, approximately what percentage of your time is dedicated to consulting in the following categories? - Vegetable Crops (ex. processing tomatoes, fresh vegetables - lettuce, melons, onions; vegetable seed production)"
"Percentage_of_Time_Tree_and_Vine_Crops","In a given year, approximately what percentage of your time is dedicated to consulting in the following categories? - Tree and Vine Crops (ex. almonds, walnuts, pistachio, grapes, fresh fruit trees)"
"Percentage_of_Time_Other","In a given year, approximately what percentage of your time is dedicated to consulting in the following categories? - Other (please specify):"
"County","What county, or counties, do you operate in? (Select all that apply)"
"Alfalfa_Grown_Rank","Rank the top 3 field crops that you have grown in the past 3 years, in terms of the greatest acreage. Enter 1,2,3 next to the crop name (1= the field crop grown on the greatest acreage) - Alfalfa"
"Rice_Grown_Rank","Rank the top 3 field crops that you have grown in the past 3 years, in terms of the greatest acreage. Enter 1,2,3 next to the crop name (1= the field crop grown on the greatest acreage) - Grain - Rice"
"Wheat_Grown_Rank","Rank the top 3 field crops that you have grown in the past 3 years, in terms of the greatest acreage. Enter 1,2,3 next to the crop name (1= the field crop grown on the greatest acreage) - Grain - Wheat"
"Triticale_Grown_Rank","Rank the top 3 field crops that you have grown in the past 3 years, in terms of the greatest acreage. Enter 1,2,3 next to the crop name (1= the field crop grown on the greatest acreage) - Grain - Triticale"
"Barley_Grown_Rank","Rank the top 3 field crops that you have grown in the past 3 years, in terms of the greatest acreage. Enter 1,2,3 next to the crop name (1= the field crop grown on the greatest acreage) - Grain-Barley"
"Oats_Grown_Rank","Rank the top 3 field crops that you have grown in the past 3 years, in terms of the greatest acreage. Enter 1,2,3 next to the crop name (1= the field crop grown on the greatest acreage) - Grain-Oats"
"Cotton_Grown_Rank","Rank the top 3 field crops that you have grown in the past 3 years, in terms of the greatest acreage. Enter 1,2,3 next to the crop name (1= the field crop grown on the greatest acreage) - Cotton"
"Corn_Grown_Rank","Rank the top 3 field crops that you have grown in the past 3 years, in terms of the greatest acreage. Enter 1,2,3 next to the crop name (1= the field crop grown on the greatest acreage) - Grain-Corn"
"Corn_Silage_Grown_Rank","Rank the top 3 field crops that you have grown in the past 3 years, in terms of the greatest acreage. Enter 1,2,3 next to the crop name (1= the field crop grown on the greatest acreage) - Forage - Corn (silage)"
"Small_Grain_Silage_Grown_Rank","Rank the top 3 field crops that you have grown in the past 3 years, in terms of the greatest acreage. Enter 1,2,3 next to the crop name (1= the field crop grown on the greatest acreage) - Forage - Small Grain (silage)"
"Small_Grain_Hay_Grown_Rank","Rank the top 3 field crops that you have grown in the past 3 years, in terms of the greatest acreage. Enter 1,2,3 next to the crop name (1= the field crop grown on the greatest acreage) - Forage - Small Grain (hay)"
"Grass_and_Grass_Mixtures_Hay_Grown_Rank","Rank the top 3 field crops that you have grown in the past 3 years, in terms of the greatest acreage. Enter 1,2,3 next to the crop name (1= the field crop grown on the greatest acreage) - Forage - grass and grass mixtures (hay)"
"Sorghum_Sudangrass_Sudan_Grown_Rank","Rank the top 3 field crops that you have grown in the past 3 years, in terms of the greatest acreage. Enter 1,2,3 next to the crop name (1= the field crop grown on the greatest acreage) - Forage - Sorghum, Sudangrass, or Sudan types"
"Dry_Beans_Grown_Rank","Rank the top 3 field crops that you have grown in the past 3 years, in terms of the greatest acreage. Enter 1,2,3 next to the crop name (1= the field crop grown on the greatest acreage) - Dry Beans"
"Mixed_Hay_Grown_Rank","Rank the top 3 field crops that you have grown in the past 3 years, in terms of the greatest acreage. Enter 1,2,3 next to the crop name (1= the field crop grown on the greatest acreage) - Forage - Mixed (hay)"
"Sunflower_Grown_Rank","Rank the top 3 field crops that you have grown in the past 3 years, in terms of the greatest acreage. Enter 1,2,3 next to the crop name (1= the field crop grown on the greatest acreage) - Sunflower (seed)"
"Oilseeds_Grown_Rank","Rank the top 3 field crops that you have grown in the past 3 years, in terms of the greatest acreage. Enter 1,2,3 next to the crop name (1= the field crop grown on the greatest acreage) - Oilseeds (ex. canola, camelina, safflower)"
"Sugar_Beets_Grown_Rank","Rank the top 3 field crops that you have grown in the past 3 years, in terms of the greatest acreage. Enter 1,2,3 next to the crop name (1= the field crop grown on the greatest acreage) - Sugar beets (sugar, ethanol, or animal feed)"
"Hemp_Grown_Rank","Rank the top 3 field crops that you have grown in the past 3 years, in terms of the greatest acreage. Enter 1,2,3 next to the crop name (1= the field crop grown on the greatest acreage) - Hemp"
"Other_Grown_Rank","Rank the top 3 field crops that you have grown in the past 3 years, in terms of the greatest acreage. Enter 1,2,3 next to the crop name (1= the field crop grown on the greatest acreage) - Other (please specify)"
"Grass_and_Grass_Mixtures_Pasture_Grown_Rank","Rank the top 3 field crops that you have grown in the past 3 years, in terms of the greatest acreage. Enter 1,2,3 next to the crop name (1= the field crop grown on the greatest acreage) - Forage - grass and grass mixtures (pasture)"
"Wild_Rice_Grown_Rank","Rank the top 3 field crops that you have grown in the past 3 years, in terms of the greatest acreage. Enter 1,2,3 next to the crop name (1= the field crop grown on the greatest acreage) - Grain - Wild Rice"
"Alfalfa_Consulted_Rank","Rank the top 3 field crops that you have consulted on in the past 3 years, in terms of the greatest acreage, Enter 1,2,3 next to the crop name (1= the field crop grown on the greatest acreage) - Alfalfa"
"Rice_Consulted_Rank","Rank the top 3 field crops that you have consulted on in the past 3 years, in terms of the greatest acreage, Enter 1,2,3 next to the crop name (1= the field crop grown on the greatest acreage) - Grain - Rice"
"Wheat_Consulted_Rank","Rank the top 3 field crops that you have consulted on in the past 3 years, in terms of the greatest acreage, Enter 1,2,3 next to the crop name (1= the field crop grown on the greatest acreage) - Grain - Wheat"
"Triticale_Consulted_Rank","Rank the top 3 field crops that you have consulted on in the past 3 years, in terms of the greatest acreage, Enter 1,2,3 next to the crop name (1= the field crop grown on the greatest acreage) - Grain - Triticale"
"Barley_Consulted_Rank","Rank the top 3 field crops that you have consulted on in the past 3 years, in terms of the greatest acreage, Enter 1,2,3 next to the crop name (1= the field crop grown on the greatest acreage) - Grain-Barley"
"Oats_Consulted_Rank","Rank the top 3 field crops that you have consulted on in the past 3 years, in terms of the greatest acreage, Enter 1,2,3 next to the crop name (1= the field crop grown on the greatest acreage) - Grain-Oats"
"Cotton_Consulted_Rank","Rank the top 3 field crops that you have consulted on in the past 3 years, in terms of the greatest acreage, Enter 1,2,3 next to the crop name (1= the field crop grown on the greatest acreage) - Cotton"
"Corn_Consulted_Rank","Rank the top 3 field crops that you have consulted on in the past 3 years, in terms of the greatest acreage, Enter 1,2,3 next to the crop name (1= the field crop grown on the greatest acreage) - Grain-Corn"
"Corn_Silage_Consulted_Rank","Rank the top 3 field crops that you have consulted on in the past 3 years, in terms of the greatest acreage, Enter 1,2,3 next to the crop name (1= the field crop grown on the greatest acreage) - Forage - Corn (silage)"
"Small_Grain_Silage_Consulted_Rank","Rank the top 3 field crops that you have consulted on in the past 3 years, in terms of the greatest acreage, Enter 1,2,3 next to the crop name (1= the field crop grown on the greatest acreage) - Forage - Small Grain (silage)"
"Small_Grain_Hay_Consulted_Rank","Rank the top 3 field crops that you have consulted on in the past 3 years, in terms of the greatest acreage, Enter 1,2,3 next to the crop name (1= the field crop grown on the greatest acreage) - Forage - Small Grain (hay)"
"Grass_and_Grass_Mixtures_Hay_Consulted_Rank","Rank the top 3 field crops that you have consulted on in the past 3 years, in terms of the greatest acreage, Enter 1,2,3 next to the crop name (1= the field crop grown on the greatest acreage) - Forage - grass and grass mixtures (hay)"
"Sorghum_Consulted_Rank","Rank the top 3 field crops that you have consulted on in the past 3 years, in terms of the greatest acreage, Enter 1,2,3 next to the crop name (1= the field crop grown on the greatest acreage) - Grain-Sorghum"
"Sorghum_Sudangrass_Sudan_Consulted_Rank","Rank the top 3 field crops that you have consulted on in the past 3 years, in terms of the greatest acreage, Enter 1,2,3 next to the crop name (1= the field crop grown on the greatest acreage) - Forage - Sorghum, Sudangrass, or Sudan types"
"Dry_Beans_Consulted_Rank","Rank the top 3 field crops that you have consulted on in the past 3 years, in terms of the greatest acreage, Enter 1,2,3 next to the crop name (1= the field crop grown on the greatest acreage) - Dry Beans"
"Mixed_Hay_Consulted_Rank","Rank the top 3 field crops that you have consulted on in the past 3 years, in terms of the greatest acreage, Enter 1,2,3 next to the crop name (1= the field crop grown on the greatest acreage) - Forage - Mixed (hay)"
"Sunflower_Consulted_Rank","Rank the top 3 field crops that you have consulted on in the past 3 years, in terms of the greatest acreage, Enter 1,2,3 next to the crop name (1= the field crop grown on the greatest acreage) - Sunflower (seed)"
"Oilseeds_Consulted_Rank","Rank the top 3 field crops that you have consulted on in the past 3 years, in terms of the greatest acreage, Enter 1,2,3 next to the crop name (1= the field crop grown on the greatest acreage) - Oilseeds (ex. canola, camelina, safflower)"
"Sugar_Beets_Consulted_Rank","Rank the top 3 field crops that you have consulted on in the past 3 years, in terms of the greatest acreage, Enter 1,2,3 next to the crop name (1= the field crop grown on the greatest acreage) - Sugar beets (sugar, ethanol, or animal feed)"
"Hemp_Consulted_Rank","Rank the top 3 field crops that you have consulted on in the past 3 years, in terms of the greatest acreage, Enter 1,2,3 next to the crop name (1= the field crop grown on the greatest acreage) - Hemp"
"Other_Consulted_Rank","Rank the top 3 field crops that you have consulted on in the past 3 years, in terms of the greatest acreage, Enter 1,2,3 next to the crop name (1= the field crop grown on the greatest acreage) - Other (please specify)"
"Grass_and_Grass_Mixtures_Consulted_Rank","Rank the top 3 field crops that you have consulted on in the past 3 years, in terms of the greatest acreage, Enter 1,2,3 next to the crop name (1= the field crop grown on the greatest acreage) - Forage - grass and grass mixtures (pasture)"
"Wild_Rice_Consulted_Rank","Rank the top 3 field crops that you have consulted on in the past 3 years, in terms of the greatest acreage, Enter 1,2,3 next to the crop name (1= the field crop grown on the greatest acreage) - Grain - Wild Rice"
"Concern_Commondity_Price_of_Crops","In regards to the production of FIELD CROPS in California, rate your concern for the following: - Commodity price of crops"
"Concern_Market_Access","In regards to the production of FIELD CROPS in California, rate your concern for the following: - Market access"
"Concern_Consumer_Demand","In regards to the production of FIELD CROPS in California, rate your concern for the following: - Consumer demand"
"Concern_Input_Costs","In regards to the production of FIELD CROPS in California, rate your concern for the following: - Input costs (fertilizers, pesticides, herbicides, seeds)"
"Concern_Water_Costs","In regards to the production of FIELD CROPS in California, rate your concern for the following: - Water costs (delivery or pumping)"
"Concern_Land_Tenure","In regards to the production of FIELD CROPS in California, rate your concern for the following: - Land tenure/cost"
"Concern_Water_Quality_and_Availability","In regards to the production of FIELD CROPS in California, rate your concern for the following: - Water quality/availability"
"Concern_Labor_Quality_and_Availability","In regards to the production of FIELD CROPS in California, rate your concern for the following: - Labor availability/quality"
"Concern_Water_Regulations_Quantity","In regards to the production of FIELD CROPS in California, rate your concern for the following: - Regulations on water use (quantity)"
"Concern_Water_Regulations_Quality","In regards to the production of FIELD CROPS in California, rate your concern for the following: - Regulations on water quality"
"Concern_Labor_Regulations","In regards to the production of FIELD CROPS in California, rate your concern for the following: - Regulations on Labor"
"Concern_Chemical_Regulations","In regards to the production of FIELD CROPS in California, rate your concern for the following: - Regulations on chemical use (fertilizers, herbicides, pesticides)"
"Concern_Air_Quality","In regards to the production of FIELD CROPS in California, rate your concern for the following: - Regulations on Air Quality"
"Concern_Changing_Weather_and_Climate","In regards to the production of FIELD CROPS in California, rate your concern for the following: - Changing weather and climate"
"Concern_Soil_Degradation","In regards to the production of FIELD CROPS in California, rate your concern for the following: - Soil Degradation"
"Concern_Other","In regards to the production of FIELD CROPS in California, rate your concern for the following: - Other (specify)"
"Alfalfa_Growing_Concerns","Select the highest priority management challenge(s) for each field crop you selected (select all that apply) - Alfalfa"
"Cotton_Growing_Concerns","Select the highest priority management challenge(s) for each field crop you selected (select all that apply) - Cotton"
"Rice_Growing_Concerns","Select the highest priority management challenge(s) for each field crop you selected (select all that apply) - Grain - Rice"
"Wild_Rice_Growing_Concerns","Select the highest priority management challenge(s) for each field crop you selected (select all that apply) - Grain - Wild Rice"
"Wheat_Growing_Concerns","Select the highest priority management challenge(s) for each field crop you selected (select all that apply) - Grain - Wheat"
"Triticale_Growing_Concerns","Select the highest priority management challenge(s) for each field crop you selected (select all that apply) - Grain - Triticale"
"Barley_Growing_Concerns","Select the highest priority management challenge(s) for each field crop you selected (select all that apply) - Grain-Barley"
"Oats_Growing_Concerns","Select the highest priority management challenge(s) for each field crop you selected (select all that apply) - Grain-Oats"
"Corn_Growing_Concerns","Select the highest priority management challenge(s) for each field crop you selected (select all that apply) - Grain-Corn"
"Sorghum_Growing_Concerns","Select the highest priority management challenge(s) for each field crop you selected (select all that apply) - Grain-Sorghum"
"Corn_Silage_Growing_Concerns","Select the highest priority management challenge(s) for each field crop you selected (select all that apply) - Forage - Corn (silage)"
"Small_Grain_Silage_Growing_Concerns","Select the highest priority management challenge(s) for each field crop you selected (select all that apply) - Forage - Small Grain (silage)"
"Small_Grain_Hay_Growing_Concerns","Select the highest priority management challenge(s) for each field crop you selected (select all that apply) - Forage - Small Grain (hay)"
"Grass_and_Grass_Mixtures_Hay_Growing_Concerns","Select the highest priority management challenge(s) for each field crop you selected (select all that apply) - Forage - grass and grass mixtures (hay)"
"Grass_and_Grass_Mixtures_Pasture_Growing_Concerns","Select the highest priority management challenge(s) for each field crop you selected (select all that apply) - Forage - grass and grass mixtures (pasture)"
"Sorghum_Sudangrass_Sudan_Growing_Concerns","Select the highest priority management challenge(s) for each field crop you selected (select all that apply) - Forage - Sorghum, Sudangrass, or Sudan types"
"Mixed_Hay_Growing_Concerns","Select the highest priority management challenge(s) for each field crop you selected (select all that apply) - Forage - Mixed (hay)"
"Dry_Beans_Growing_Concerns","Select the highest priority management challenge(s) for each field crop you selected (select all that apply) - Dry Beans"
"Sunflower_Growing_Concerns","Select the highest priority management challenge(s) for each field crop you selected (select all that apply) - Sunflower (seed)"
"Oilseeds_Growing_Concerns","Select the highest priority management challenge(s) for each field crop you selected (select all that apply) - Oilseeds (ex. canola, camelina, safflower)"
"Sugar_Beets_Growing_Concerns","Select the highest priority management challenge(s) for each field crop you selected (select all that apply) - Sugar beets (sugar, ethanol, or animal feed)"
"Hemp_Growing_Concerns","Select the highest priority management challenge(s) for each field crop you selected (select all that apply) - Hemp"
"Other_Growing_Concerns","Select the highest priority management challenge(s) for each field crop you selected (select all that apply) - Other (please specify)"
"Alfalfa_Consulting_Concerns","Select the highest priority management challenge(s) for each field crop you selected (select all that apply) - Alfalfa"
"Cotton_Consulting_Concerns","Select the highest priority management challenge(s) for each field crop you selected (select all that apply) - Cotton"
"Rice_Consulting_Concerns","Select the highest priority management challenge(s) for each field crop you selected (select all that apply) - Grain - Rice"
"Wild_Rice_Consulting_Concerns","Select the highest priority management challenge(s) for each field crop you selected (select all that apply) - Grain - Wild Rice"
"Wheat_Consulting_Concerns","Select the highest priority management challenge(s) for each field crop you selected (select all that apply) - Grain - Wheat"
"Triticale_Consulting_Concerns","Select the highest priority management challenge(s) for each field crop you selected (select all that apply) - Grain - Triticale"
"Barley_Consulting_Concerns","Select the highest priority management challenge(s) for each field crop you selected (select all that apply) - Grain-Barley"
"Oats_Consulting_Concerns","Select the highest priority management challenge(s) for each field crop you selected (select all that apply) - Grain-Oats"
"Corn_Consulting_Concerns","Select the highest priority management challenge(s) for each field crop you selected (select all that apply) - Grain-Corn"
"Sorghum_Consulting_Concerns","Select the highest priority management challenge(s) for each field crop you selected (select all that apply) - Grain-Sorghum"
"Corn_Silage_Consulting_Concerns","Select the highest priority management challenge(s) for each field crop you selected (select all that apply) - Forage - Corn (silage)"
"Small_Grain_Silage_Consulting_Concerns","Select the highest priority management challenge(s) for each field crop you selected (select all that apply) - Forage - Small Grain (silage)"
"Small_Grain_Hay_Consulting_Concerns","Select the highest priority management challenge(s) for each field crop you selected (select all that apply) - Forage - Small Grain (hay)"
"Grass_and_Grass_Mixtures_Hay_Consulting_Concerns","Select the highest priority management challenge(s) for each field crop you selected (select all that apply) - Forage - grass and grass mixtures (hay)"
"Grass_and_Grass_Mixtures_Pasture_Consulting_Concerns","Select the highest priority management challenge(s) for each field crop you selected (select all that apply) - Forage - grass and grass mixtures (pasture)"
"Sorghum_Sudangrass_Sudan_Consulting_Concerns","Select the highest priority management challenge(s) for each field crop you selected (select all that apply) - Forage - Sorghum, Sudangrass, or Sudan types"
"Mixed_Hay_Consulting_Concerns","Select the highest priority management challenge(s) for each field crop you selected (select all that apply) - Forage - Mixed (hay)"
"Dry_Beans_Consulting_Concerns","Select the highest priority management challenge(s) for each field crop you selected (select all that apply) - Dry Beans"
"Sunflower_Consulting_Concerns","Select the highest priority management challenge(s) for each field crop you selected (select all that apply) - Sunflower (seed)"
"Oilseeds_Consulting_Concerns","Select the highest priority management challenge(s) for each field crop you selected (select all that apply) - Oilseeds (ex. canola, camelina, safflower)"
"Sugar_Beets_Consulting_Concerns","Select the highest priority management challenge(s) for each field crop you selected (select all that apply) - Sugar beets (sugar, ethanol, or animal feed)"
"Hemp_Consulting_Concerns","Select the highest priority management challenge(s) for each field crop you selected (select all that apply) - Hemp"
"Other_Consulting_Concerns","Select the highest priority management challenge(s) for each field crop you selected (select all that apply) - Other (please specify)"
"Alfalfa_Growing_Reasons","What are the primary reasons that you grow the following field crops? Check all that apply for each field crop you grow. - Alfalfa"
"Cotton_Growing_Reasons","What are the primary reasons that you grow the following field crops? Check all that apply for each field crop you grow. - Cotton"
"Rice_Growing_Reasons","What are the primary reasons that you grow the following field crops? Check all that apply for each field crop you grow. - Grain - Rice"
"Wild_Rice_Growing_Reasons","What are the primary reasons that you grow the following field crops? Check all that apply for each field crop you grow. - Grain - Wild Rice"
"Wheat_Growing_Reasons","What are the primary reasons that you grow the following field crops? Check all that apply for each field crop you grow. - Grain - Wheat"
"Triticale_Growing_Reasons","What are the primary reasons that you grow the following field crops? Check all that apply for each field crop you grow. - Grain - Triticale"
"Barley_Growing_Reasons","What are the primary reasons that you grow the following field crops? Check all that apply for each field crop you grow. - Grain-Barley"
"Oats_Growing_Reasons","What are the primary reasons that you grow the following field crops? Check all that apply for each field crop you grow. - Grain-Oats"
"Corn_Growing_Reasons","What are the primary reasons that you grow the following field crops? Check all that apply for each field crop you grow. - Grain-Corn"
"Sorghum_Growing_Reasons","What are the primary reasons that you grow the following field crops? Check all that apply for each field crop you grow. - Grain-Sorghum"
"Corn_Silage_Growing_Reasons","What are the primary reasons that you grow the following field crops? Check all that apply for each field crop you grow. - Forage - Corn (silage)"
"Small_Grain_Silage_Growing_Reasons","What are the primary reasons that you grow the following field crops? Check all that apply for each field crop you grow. - Forage - Small Grain (silage)"
"Small_Grain_Hay_Growing_Reasons","What are the primary reasons that you grow the following field crops? Check all that apply for each field crop you grow. - Forage - Small Grain (hay)"
"Grass_and_Grass_Mixtures_Hay_Growing_Reasons","What are the primary reasons that you grow the following field crops? Check all that apply for each field crop you grow. - Forage - grass and grass mixtures (hay)"
"Grass_and_Grass_Mixtures_Pasture_Growing_Reasons","What are the primary reasons that you grow the following field crops? Check all that apply for each field crop you grow. - Forage - grass and grass mixtures (pasture)"
"Sorghum_Sudangrass_Sudan_Growing_Reasons","What are the primary reasons that you grow the following field crops? Check all that apply for each field crop you grow. - Forage - Sorghum, Sudangrass, or Sudan types"
"Mixed_Hay_Growing_Reasons","What are the primary reasons that you grow the following field crops? Check all that apply for each field crop you grow. - Forage - Mixed (hay)"
"Dry_Beans_Growing_Reasons","What are the primary reasons that you grow the following field crops? Check all that apply for each field crop you grow. - Dry Beans"
"Sunflower_Growing_Reasons","What are the primary reasons that you grow the following field crops? Check all that apply for each field crop you grow. - Sunflower (seed)"
"Oilseeds_Growing_Reasons","What are the primary reasons that you grow the following field crops? Check all that apply for each field crop you grow. - Oilseeds (ex. canola, camelina, safflower)"
"Sugar_Beets_Growing_Reasons","What are the primary reasons that you grow the following field crops? Check all that apply for each field crop you grow. - Sugar beets (sugar, ethanol, or animal feed)"
"Hemp_Growing_Reasons","What are the primary reasons that you grow the following field crops? Check all that apply for each field crop you grow. - Hemp"
"Other_Growing_Reasons","What are the primary reasons that you grow the following field crops? Check all that apply for each field crop you grow. - Other (please specify)"
"Affected_Crop_Production_Management_Profitability","How often do the following priorities affect your management decisions for field crop production? - Profitability"
"Affected_Crop_Production_Management_Crop_Yield","How often do the following priorities affect your management decisions for field crop production? - Crop Yield"
"Affected_Crop_Production_Management_Crop_Quality","How often do the following priorities affect your management decisions for field crop production? - Crop Quality"
"Affected_Crop_Production_Management_Input_Costs","How often do the following priorities affect your management decisions for field crop production? - Keeping input costs low"
"Affected_Crop_Production_Management_Soil_Fertility","How often do the following priorities affect your management decisions for field crop production? - Soil Fertility"
"Affected_Crop_Production_Management_Land_Stewardship","How often do the following priorities affect your management decisions for field crop production? - Land stewardship"
"Affected_Crop_Production_Management_Natural_Resource_Conservation","How often do the following priorities affect your management decisions for field crop production? - Natural resource conservation"
"Affected_Crop_Production_Management_Meeting_Government_Regulations","How often do the following priorities affect your management decisions for field crop production? - Meeting government regulations"
"Affected_Crop_Production_Management_Labor_Required","How often do the following priorities affect your management decisions for field crop production? - Labor required"
"Affected_Crop_Production_Management_Ease_of_Implementation","How often do the following priorities affect your management decisions for field crop production? - Ease of implementation"
"Affected_Crop_Production_Management_Certainty_in_Management_Practice","How often do the following priorities affect your management decisions for field crop production? - Certainty that a management practice will work"
"Affected_Crop_Production_Management_Availability_of_Outreach_Information","How often do the following priorities affect your management decisions for field crop production? - Availability of extension and outreach information"
"Affected_Crop_Production_Management_Water_Availability","How often do the following priorities affect your management decisions for field crop production? - Availability of water"
"Affected_Crop_Production_Management_Other","How often do the following priorities affect your management decisions for field crop production? - Other (please specify)"
"Affected_Crop_Production_Recommendation_Profitability","How often do the following priorities affect your recommendations for field crop production? - Profitability"
"Affected_Crop_Production_Recommendation_Crop_Yield","How often do the following priorities affect your recommendations for field crop production? - Crop Yield"
"Affected_Crop_Production_Recommendation_Crop_Quality","How often do the following priorities affect your recommendations for field crop production? - Crop Quality"
"Affected_Crop_Production_Recommendation_Input_Costs","How often do the following priorities affect your recommendations for field crop production? - Keeping input costs low"
"Affected_Crop_Production_Recommendation_Soil_Fertility","How often do the following priorities affect your recommendations for field crop production? - Soil Fertility"
"Affected_Crop_Production_Recommendation_Land_Stewardship","How often do the following priorities affect your recommendations for field crop production? - Land stewardship"
"Affected_Crop_Production_Recommendation_Natural_Resource_Conservation","How often do the following priorities affect your recommendations for field crop production? - Natural resource conservation"
"Affected_Crop_Production_Recommendation_Meeting_Government_Regulations","How often do the following priorities affect your recommendations for field crop production? - Meeting government regulations"
"Affected_Crop_Production_Recommendation_Labor_Required","How often do the following priorities affect your recommendations for field crop production? - Labor required"
"Affected_Crop_Production_Recommendation_Ease_of_Implementation","How often do the following priorities affect your recommendations for field crop production? - Ease of implementation"
"Affected_Crop_Production_Recommendation_Certainty_in_Management_Practice","How often do the following priorities affect your recommendations for field crop production? - Certainty that a management practice will work"
"Affected_Crop_Production_Recommendation_Availability_of_Outreach_Information","How often do the following priorities affect your recommendations for field crop production? - Availability of extension and outreach information"
"Affected_Crop_Production_Recommendation_Water_Availability","How often do the following priorities affect your recommendations for field crop production? - Availability of water"
"Affected_Crop_Production_Recommendation_Other","How often do the following priorities affect your recommendations for field crop production? - Other (please specify)"
"Information_Sources","Who do you communicate with when seeking information about field crop production? (Check all that apply) - Selected Choice"
"UCCE_Engagement_Attend_Field_Day","How often do you engage with UC Cooperative Extension (UCCE) in the following ways? - Attend a Field Day"
